Year,Rank,Track_Title,Artist_Name,Raw_Track_Title,Raw_Artist_Name
1998,1,Too Close,Next,Too Close,Next
1998,2,The Boy Is Mine,Brandy,The Boy Is Mine,Brandy and Monica
1998,3,You're Still the One,Shania Twain,You're Still the One,Shania Twain
1998,4,Truly Madly Deeply,Savage Garden,Truly Madly Deeply,Savage Garden
1998,5,How Do I Live,LeAnn Rimes,How Do I Live,LeAnn Rimes
1998,6,Together Again,Janet,Together Again,Janet
1998,7,All My Life,K-Ci,All My Life,K-Ci & JoJo
1998,8,Candle in the Wind 1997,Elton John,Candle in the Wind 1997 / Something About the Way You Look Tonight,Elton John
1998,9,Nice & Slow,Usher,Nice & Slow,Usher
1998,10,I Don't Want to Wait,Paula Cole,I Don't Want to Wait,Paula Cole
1998,11,How's It Going to Be,Third Eye Blind,How's It Going to Be,Third Eye Blind
1998,12,"No, No, No",Destiny's Child,"No, No, No",Destiny's Child
1998,13,My Heart Will Go On,Celine Dion,My Heart Will Go On,Celine Dion
1998,14,Gettin' Jiggy wit It,Will Smith,Gettin' Jiggy wit It,Will Smith
1998,15,You Make Me Wanna...,Usher,You Make Me Wanna...,Usher
1998,16,16,My Way,16,My Way
1998,17,My All,Mariah Carey,My All,Mariah Carey
1998,18,The First Night,Monica,The First Night,Monica
1998,19,Been Around the World,Puff Daddy,Been Around the World,Puff Daddy & the Family featuring The Notorious B.I.G. and Mase
1998,20,Adia,Sarah McLachlan,Adia,Sarah McLachlan
1998,21,Crush,Jennifer Paige,Crush,Jennifer Paige
1998,22,Everybody,Backstreet Boys,Everybody (Backstreet's Back),Backstreet Boys
1998,23,I Don't Want to Miss a Thing,Aerosmith,I Don't Want to Miss a Thing,Aerosmith
1998,24,Body Bumpin',Public Announcement,Body Bumpin' (Yippie-Yi-Yo),Public Announcement
1998,25,This Kiss,Faith Hill,This Kiss,Faith Hill
1998,26,I Don't Ever Want to See You Again,Uncle Sam,I Don't Ever Want to See You Again,Uncle Sam
1998,27,Let's Ride,Montell Jordan,Let's Ride,Montell Jordan featuring Master P and Silkk the Shocker
1998,28,Sex and Candy,Marcy Playground,Sex and Candy,Marcy Playground
1998,29,Show Me Love,Robyn,Show Me Love,Robyn
1998,30,A Song for Mama,Boyz II Men,A Song for Mama,Boyz II Men
1998,31,What You Want,Mase,What You Want,Mase featuring Total
1998,32,Frozen,Madonna,Frozen,Madonna
1998,33,Gone till November,Wyclef Jean,Gone till November,Wyclef Jean
1998,34,My Body,LSG,My Body,LSG
1998,35,Tubthumping,Chumbawamba,Tubthumping,Chumbawamba
1998,36,Deja Vu,Lord Tariq,Deja Vu (Uptown Baby),Lord Tariq and Peter Gunz
1998,37,I Want You Back,NSYNC,I Want You Back,NSYNC
1998,38,When the Lights Go Out,Five,When the Lights Go Out,Five
1998,39,They Don't Know,Jon B.,They Don't Know,Jon B.
1998,40,Make 'Em Say Uhh!,Master P,Make 'Em Say Uhh!,"Master P featuring Fiend, Silkk the Shocker, Mia X and Mystikal"
1998,41,Make It Hot,Nicole,Make It Hot,Nicole featuring Missy Elliott and Mocha
1998,42,Never Ever,All Saints,Never Ever,All Saints
1998,43,I Get Lonely,Janet,I Get Lonely,Janet featuring Blackstreet
1998,44,Feel So Good,Mase,Feel So Good,Mase
1998,45,Say It,Voices of Theory,Say It,Voices of Theory
1998,46,Kiss the Rain,Billie Myers,Kiss the Rain,Billie Myers
1998,47,Come with Me,Puff Daddy,Come with Me,Puff Daddy featuring Jimmy Page
1998,48,Romeo and Juliet,Sylk-E. Fyne,Romeo and Juliet,Sylk-E. Fyne featuring Chill
1998,49,It's All About Me,Mýa,It's All About Me,Mýa and Sisqo
1998,50,I Will Come to You,Hanson,I Will Come to You,Hanson
1998,51,One Week,Barenaked Ladies,One Week,Barenaked Ladies
1998,52,Swing My Way,K. P.,Swing My Way,K. P. & Envyi
1998,53,The Arms of the One Who Loves You,Xscape,The Arms of the One Who Loves You,Xscape
