Year,Rank,Track_Title,Artist_Name,Raw_Track_Title,Raw_Artist_Name
1975,1,Love Will Keep Us Together,Captain,Love Will Keep Us Together,Captain & Tennille
1975,2,Rhinestone Cowboy,Glen Campbell,Rhinestone Cowboy,Glen Campbell
1975,3,Philadelphia Freedom,Elton John,Philadelphia Freedom,Elton John
1975,4,Before the Next Teardrop Falls,Freddy Fender,Before the Next Teardrop Falls,Freddy Fender
1975,5,My Eyes Adored You,Frankie Valli,My Eyes Adored You,Frankie Valli
1975,6,Some Kind of Wonderful,Grand Funk Railroad,Some Kind of Wonderful,Grand Funk Railroad
1975,7,Shining Star,"Earth, Wind",Shining Star,"Earth, Wind & Fire"
1975,8,Fame,David Bowie,Fame,David Bowie
1975,9,Laughter in the Rain,Neil Sedaka,Laughter in the Rain,Neil Sedaka
1975,10,One of These Nights,Eagles,One of These Nights,Eagles
1975,11,Thank God I'm a Country Boy,John Denver,Thank God I'm a Country Boy,John Denver
1975,12,Jive Talkin',Bee Gees,Jive Talkin',Bee Gees
1975,13,Best of My Love,Eagles,Best of My Love,Eagles
1975,14,Lovin' You,Minnie Riperton,Lovin' You,Minnie Riperton
1975,15,Kung Fu Fighting,Carl Douglas,Kung Fu Fighting,Carl Douglas
1975,16,Black Water,The Doobie Brothers,Black Water,The Doobie Brothers
1975,17,The Ballroom Blitz,Sweet,The Ballroom Blitz,Sweet
1975,18,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas
1975,19,He Don't Love You,Tony Orlando,He Don't Love You (Like I Love You),Tony Orlando and Dawn
1975,20,At Seventeen,Janis Ian,At Seventeen,Janis Ian
1975,21,Pick Up the Pieces,Average White Band,Pick Up the Pieces,Average White Band
1975,22,The Hustle,Van McCoy,The Hustle,Van McCoy & the Soul City Symphony
1975,23,Lady Marmalade,Labelle,Lady Marmalade,Labelle
1975,24,Why Can't We Be Friends?,War,Why Can't We Be Friends?,War
1975,25,Love Won't Let Me Wait,Major Harris,Love Won't Let Me Wait,Major Harris
1975,26,Boogie On Reggae Woman,Stevie Wonder,Boogie On Reggae Woman,Stevie Wonder
1975,27,Wasted Days and Wasted Nights,Freddy Fender,Wasted Days and Wasted Nights,Freddy Fender
1975,28,Angie Baby,Helen Reddy,Angie Baby,Helen Reddy
1975,29,Fight the Power,The Isley Brothers,Fight the Power,The Isley Brothers
1975,30,Jackie Blue,Ozark Mountain Daredevils,Jackie Blue,Ozark Mountain Daredevils
1975,31,Fire,Ohio Players,Fire,Ohio Players
1975,32,Magic,Pilot,Magic,Pilot
1975,33,Please Mr. Postman,The Carpenters,Please Mr. Postman,The Carpenters
1975,34,Sister Golden Hair,America,Sister Golden Hair,America
1975,35,Lucy in the Sky with Diamonds,Elton John,Lucy in the Sky with Diamonds,Elton John
1975,36,Mandy,Barry Manilow,Mandy,Barry Manilow
1975,37,Have You Never Been Mellow,Olivia Newton-John,Have You Never Been Mellow,Olivia Newton-John
1975,38,Could It Be Magic,Barry Manilow,Could It Be Magic,Barry Manilow
1975,39,Cat's in the Cradle,Harry Chapin,Cat's in the Cradle,Harry Chapin
1975,40,Wildfire,Michael Martin Murphey,Wildfire,Michael Martin Murphey
1975,41,I'm Not Lisa,Jessi Colter,I'm Not Lisa,Jessi Colter
1975,42,Listen to What the Man Said,Wings,Listen to What the Man Said,Wings
1975,43,I'm Not in Love,10cc,I'm Not in Love,10cc
1975,44,I Can Help,Billy Swan,I Can Help,Billy Swan
1975,45,Fallin' in Love,"Hamilton, Joe Frank",Fallin' in Love,"Hamilton, Joe Frank & Reynolds"
1975,46,Feelings,Morris Albert,Feelings,Morris Albert
1975,47,When Will I Be Loved,Linda Ronstadt,When Will I Be Loved,Linda Ronstadt
1975,48,Chevy Van,Sammy Johns,Chevy Van,Sammy Johns
1975,49,"You're the First, the Last, My Everything",Barry White,"You're the First, the Last, My Everything",Barry White
1975,50,Please Mr. Please,Olivia Newton-John,Please Mr. Please,Olivia Newton-John
1975,51,You're No Good,Linda Ronstadt,You're No Good,Linda Ronstadt
1975,52,Dynomite,Bazuka,Dynomite,Bazuka
1975,53,Walking in Rhythm,The Blackbyrds,Walking in Rhythm,The Blackbyrds
1975,54,The Way We Were/Try to Remember,Gladys Knight,The Way We Were/Try to Remember,Gladys Knight & the Pips
1975,55,Midnight Blue,Melissa Manchester,Midnight Blue,Melissa Manchester
1975,56,"Don't Call Us, We'll Call You",Sugarloaf,"Don't Call Us, We'll Call You",Sugarloaf
1975,57,Poetry Man,Phoebe Snow,Poetry Man,Phoebe Snow
1975,58,How Long?,Ace,How Long?,Ace
1975,59,Express,B.T. Express,Express,B.T. Express
1975,60,That's the Way of the World,"Earth, Wind",That's the Way of the World,"Earth, Wind & Fire"
1975,61,Lady,Styx,Lady,Styx
1975,62,Bad Time,Grand Funk,Bad Time,Grand Funk
1975,63,Only Women Bleed,Alice Cooper,Only Women Bleed,Alice Cooper
1975,64,Doctor's Orders,Carol Douglas,Doctor's Orders,Carol Douglas
1975,65,Get Down Tonight,KC,Get Down Tonight,KC and the Sunshine Band
1975,66,One Man Woman/One Woman Man,Paul Anka,One Man Woman/One Woman Man,Paul Anka & Odia Coates
1975,67,You Are So Beautiful,Joe Cocker,You Are So Beautiful,Joe Cocker
1975,68,Feel Like Makin' Love,Bad Company,Feel Like Makin' Love,Bad Company
1975,69,How Sweet It Is,James Taylor,How Sweet It Is (To Be Loved by You),James Taylor
1975,70,Dance with Me,Orleans,Dance with Me,Orleans
1975,71,Cut the Cake,Average White Band,Cut the Cake,Average White Band
1975,72,Never Can Say Goodbye,Gloria Gaynor,Never Can Say Goodbye,Gloria Gaynor
1975,73,I Don't Like to Sleep Alone,Paul Anka,I Don't Like to Sleep Alone,Paul Anka & Odia Coates
1975,74,Morning Side of the Mountain,Donny,Morning Side of the Mountain,Donny & Marie Osmond
1975,75,When Will I See You Again,The Three Degrees,When Will I See You Again,The Three Degrees
1975,76,"Get Down, Get Down",Joe Simon,"Get Down, Get Down (Get on the Floor)",Joe Simon
1975,77,I'm Sorry,John Denver,I'm Sorry,John Denver
1975,78,Killer Queen,Queen,Killer Queen,Queen
1975,79,Shoeshine Boy,Eddie Kendricks,Shoeshine Boy,Eddie Kendricks
1975,80,Do It,B.T. Express,Do It ('Til You're Satisfied),B.T. Express
1975,81,Can't Get It Out of My Head,Electric Light Orchestra,Can't Get It Out of My Head,Electric Light Orchestra
1975,82,Sha-La-La,Al Green,Sha-La-La (Make Me Happy),Al Green
1975,83,Lonely People,America,Lonely People,America
1975,84,You Got the Love,Rufus,You Got the Love,Rufus
1975,85,The Rockford Files Theme,Mike Post,The Rockford Files Theme,Mike Post
1975,86,It Only Takes a Minute,Tavares,It Only Takes a Minute,Tavares
1975,87,No No Song,Ringo Starr,No No Song,Ringo Starr
1975,88,Junior's Farm,Paul McCartney,Junior's Farm,Paul McCartney & Wings
1975,89,Bungle in the Jungle,Jethro Tull,Bungle in the Jungle,Jethro Tull
1975,90,Long Tall Glasses,Leo Sayer,Long Tall Glasses (I Can Dance),Leo Sayer
1975,91,Misty,Ray Stevens,Misty,Ray Stevens
1975,92,Someone Saved My Life Tonight,Elton John,Someone Saved My Life Tonight,Elton John
1975,93,Bad Blood,Neil Sedaka,Bad Blood,Neil Sedaka
1975,94,Only Yesterday,The Carpenters,Only Yesterday,The Carpenters
1975,95,I'm on Fire,Dwight Twilley Band,I'm on Fire,Dwight Twilley Band
1975,96,Only You,Ringo Starr,Only You (And You Alone),Ringo Starr
1975,97,Third Rate Romance,Amazing Rhythm Aces,Third Rate Romance,Amazing Rhythm Aces
1975,98,You Ain't Seen Nothing Yet,Bachman–Turner Overdrive,You Ain't Seen Nothing Yet,Bachman–Turner Overdrive
1975,99,Swearin' to God,Frankie Valli,Swearin' to God,Frankie Valli
1975,100,Get Dancin',Disco-Tex,Get Dancin',Disco-Tex and the Sex-O-Lettes
