Year,Rank,Track_Title,Artist_Name,Raw_Track_Title,Raw_Artist_Name
2016,1,Love Yourself,Justin Bieber,Love Yourself,Justin Bieber
2016,2,2,Sorry,2,Sorry
2016,3,One Dance,Drake,One Dance,Drake featuring Wizkid and Kyla
2016,4,Work,Rihanna,Work,Rihanna featuring Drake
2016,5,Stressed Out,Twenty One Pilots,Stressed Out,Twenty One Pilots
2016,6,Panda,Desiigner,Panda,Desiigner
2016,7,Hello,Adele,Hello,Adele
2016,8,Don't Let Me Down,The Chainsmokers,Don't Let Me Down,The Chainsmokers featuring Daya
2016,9,Can't Stop the Feeling!,Justin Timberlake,Can't Stop the Feeling!,Justin Timberlake
2016,10,Closer,The Chainsmokers,Closer,The Chainsmokers featuring Halsey
2016,11,Cheap Thrills,Sia,Cheap Thrills,Sia featuring Sean Paul
2016,12,7 Years,Lukas Graham,7 Years,Lukas Graham
2016,13,Needed Me,Rihanna,Needed Me,Rihanna
2016,14,My House,Flo Rida,My House,Flo Rida
2016,15,I Took a Pill in Ibiza,Mike Posner,I Took a Pill in Ibiza,Mike Posner
2016,16,Work from Home,Fifth Harmony,Work from Home,Fifth Harmony featuring Ty Dolla Sign
2016,17,This Is What You Came For,Calvin Harris,This Is What You Came For,Calvin Harris featuring Rihanna
2016,18,Cake by the Ocean,DNCE,Cake by the Ocean,DNCE
2016,19,"Me, Myself & I",G-Eazy,"Me, Myself & I",G-Eazy and Bebe Rexha
2016,20,Ride,Twenty One Pilots,Ride,Twenty One Pilots
2016,21,21,Heathens,21,Heathens
2016,22,Pillowtalk,Zayn,Pillowtalk,Zayn
2016,23,Stitches,Shawn Mendes,Stitches,Shawn Mendes
2016,24,Hotline Bling,Drake,Hotline Bling,Drake
2016,25,Cold Water,Major Lazer,Cold Water,Major Lazer featuring Justin Bieber and MØ
2016,26,Send My Love,Adele,Send My Love (To Your New Lover),Adele
2016,27,Roses,The Chainsmokers,Roses,The Chainsmokers featuring Rozes
2016,28,Treat You Better,Shawn Mendes,Treat You Better,Shawn Mendes
2016,29,Too Good,Drake,Too Good,Drake featuring Rihanna
2016,30,Low Life,Future,Low Life,Future featuring The Weeknd
2016,31,What Do You Mean?,Justin Bieber,What Do You Mean?,Justin Bieber
2016,32,The Hills,The Weeknd,The Hills,The Weeknd
2016,33,Just Like Fire,P!nk,Just Like Fire,P!nk
2016,34,Broccoli,DRAM,Broccoli,DRAM featuring Lil Yachty
2016,35,Don't,Bryson Tiller,Don't,Bryson Tiller
2016,36,Dangerous Woman,Ariana Grande,Dangerous Woman,Ariana Grande
2016,37,Jumpman,Drake,Jumpman,Drake and Future
2016,38,"I Hate U, I Love U",Gnash,"I Hate U, I Love U",Gnash featuring Olivia O'Brien
2016,39,Here,Alessia Cara,Here,Alessia Cara
2016,40,Same Old Love,Selena Gomez,Same Old Love,Selena Gomez
2016,41,Controlla,Drake,Controlla,Drake
2016,42,Like I'm Gonna Lose You,Meghan Trainor,Like I'm Gonna Lose You,Meghan Trainor featuring John Legend
2016,43,One Call Away,Charlie Puth,One Call Away,Charlie Puth
2016,44,Let It Go,James Bay,Let It Go,James Bay
2016,45,No,Meghan Trainor,No,Meghan Trainor
2016,46,Never Forget You,Zara Larsson,Never Forget You,Zara Larsson and MNEK
2016,47,Let Me Love You,DJ Snake,Let Me Love You,DJ Snake featuring Justin Bieber
2016,48,Don't Mind,Kent Jones,Don't Mind,Kent Jones
2016,49,H.O.L.Y.,Florida Georgia Line,H.O.L.Y.,Florida Georgia Line
2016,50,We Don't Talk Anymore,Charlie Puth,We Don't Talk Anymore,Charlie Puth featuring Selena Gomez
2016,51,Into You,Ariana Grande,Into You,Ariana Grande
2016,52,Gold,Kiiara,Gold,Kiiara
2016,53,Exchange,Bryson Tiller,Exchange,Bryson Tiller
