Year,Rank,Track_Title,Artist_Name,Raw_Track_Title,Raw_Artist_Name
1970,1,Bridge Over Troubled Water,Simon,Bridge Over Troubled Water,Simon & Garfunkel
1970,2,(They Long to Be) Close to You,The Carpenters,(They Long to Be) Close to You,The Carpenters
1970,3,American Woman,The Guess Who,American Woman,The Guess Who
1970,4,Raindrops Keep Fallin' on My Head,B.J. Thomas,Raindrops Keep Fallin' on My Head,B.J. Thomas
1970,5,War,Edwin Starr,War,Edwin Starr
1970,6,Ain't No Mountain High Enough,Diana Ross,Ain't No Mountain High Enough,Diana Ross
1970,7,I'll Be There,The Jackson 5,I'll Be There,The Jackson 5
1970,8,Get Ready,Rare Earth,Get Ready,Rare Earth
1970,9,Let It Be,The Beatles,Let It Be,The Beatles
1970,10,Band of Gold,Freda Payne,Band of Gold,Freda Payne
1970,11,Mama Told Me,Three Dog Night,Mama Told Me (Not to Come),Three Dog Night
1970,12,Everything Is Beautiful,Ray Stevens,Everything Is Beautiful,Ray Stevens
1970,13,Make It with You,Bread,Make It with You,Bread
1970,14,Hitchin' a Ride,Vanity Fare,Hitchin' a Ride,Vanity Fare
1970,15,ABC,The Jackson 5,ABC,The Jackson 5
1970,16,16,The Love You Save,16,The Love You Save
1970,17,Cracklin' Rosie,Neil Diamond,Cracklin' Rosie,Neil Diamond
1970,18,Candida,Dawn,Candida,Dawn
1970,19,Thank You,Sly,Thank You (Falettinme Be Mice Elf Agin),Sly & the Family Stone
1970,20,Spill the Wine,Eric Burdon,Spill the Wine,Eric Burdon & War
1970,21,O-o-h Child,Five Stairsteps,O-o-h Child,Five Stairsteps
1970,22,Spirit in the Sky,Norman Greenbaum,Spirit in the Sky,Norman Greenbaum
1970,23,Lay Down,Melanie,Lay Down (Candles in the Rain),Melanie
1970,24,Ball of Confusion,The Temptations,Ball of Confusion (That's What the World Is Today),The Temptations
1970,25,Love on a Two-Way Street,The Moments,Love on a Two-Way Street,The Moments
1970,26,Which Way You Goin' Billy?,The Poppy Family,Which Way You Goin' Billy?,The Poppy Family
1970,27,All Right Now,Free,All Right Now,Free
1970,28,I Want You Back,The Jackson 5,I Want You Back,The Jackson 5
1970,29,"Julie, Do Ya Love Me",Bobby Sherman,"Julie, Do Ya Love Me",Bobby Sherman
1970,30,Green-Eyed Lady,Sugarloaf,Green-Eyed Lady,Sugarloaf
1970,31,"Signed, Sealed, Delivered I'm Yours",Stevie Wonder,"Signed, Sealed, Delivered I'm Yours",Stevie Wonder
1970,32,Ride Captain Ride,Blues Image,Ride Captain Ride,Blues Image
1970,33,Venus,Shocking Blue,Venus,Shocking Blue
1970,34,Instant Karma!,John Lennon,Instant Karma!,John Lennon
1970,35,Patches,Clarence Carter,Patches,Clarence Carter
1970,36,Lookin' out My Back Door,Creedence Clearwater Revival,Lookin' out My Back Door,Creedence Clearwater Revival
1970,37,Rainy Night in Georgia,Brook Benton,Rainy Night in Georgia,Brook Benton
1970,38,Something's Burning,Kenny Rogers,Something's Burning,Kenny Rogers & The First Edition
1970,39,Give Me Just a Little More Time,Chairmen of the Board,Give Me Just a Little More Time,Chairmen of the Board
1970,40,Love Grows,Edison Lighthouse,Love Grows (Where My Rosemary Goes),Edison Lighthouse
1970,41,The Long and Winding Road,The Beatles,The Long and Winding Road,The Beatles
1970,42,Snowbird,Anne Murray,Snowbird,Anne Murray
1970,43,Reflections of My Life,Marmalade,Reflections of My Life,Marmalade
1970,44,Hey There Lonely Girl,Eddie Holman,Hey There Lonely Girl,Eddie Holman
1970,45,The Rapper,The Jaggerz,The Rapper,The Jaggerz
1970,46,"He Ain't Heavy, He's My Brother",The Hollies,"He Ain't Heavy, He's My Brother",The Hollies
1970,47,"Tighter, Tighter",Alive N Kickin',"Tighter, Tighter",Alive N Kickin'
1970,48,Come and Get It,Badfinger,Come and Get It,Badfinger
1970,49,Cecilia,Simon,Cecilia,Simon & Garfunkel
1970,50,Love Land,Charles Wright,Love Land,Charles Wright & the Watts 103rd Street Rhythm Band
1970,51,Turn Back the Hands of Time,Tyrone Davis,Turn Back the Hands of Time,Tyrone Davis
1970,52,Lola,The Kinks,Lola,The Kinks
1970,53,In the Summertime,Mungo Jerry,In the Summertime,Mungo Jerry
1970,54,Indiana Wants Me,R. Dean Taylor,Indiana Wants Me,R. Dean Taylor
1970,55,(I Know) I'm Losing You,Rare Earth,(I Know) I'm Losing You,Rare Earth
1970,56,"Easy Come, Easy Go",Bobby Sherman,"Easy Come, Easy Go",Bobby Sherman
1970,57,Express Yourself,Charles Wright,Express Yourself,Charles Wright & the Watts 103rd Street Rhythm Band
1970,58,Still Water,The Four Tops,Still Water (Love),The Four Tops
1970,59,Make Me Smile,Chicago,Make Me Smile,Chicago
1970,60,The House of the Rising Sun,Frijid Pink,The House of the Rising Sun,Frijid Pink
1970,61,25 or 6 to 4,Chicago,25 or 6 to 4,Chicago
1970,62,My Baby Loves Lovin',White Plains,My Baby Loves Lovin',White Plains
1970,63,Love or Let Me Be Lonely,The Friends of Distinction,Love or Let Me Be Lonely,The Friends of Distinction
1970,64,United We Stand,The Brotherhood of Man,United We Stand,The Brotherhood of Man
1970,65,We've Only Just Begun,The Carpenters,We've Only Just Begun,The Carpenters
1970,66,Arizona,Mark Lindsay,Arizona,Mark Lindsay
1970,67,Fire and Rain,James Taylor,Fire and Rain,James Taylor
1970,68,Groovy Situation,Gene Chandler,Groovy Situation,Gene Chandler
1970,69,Evil Ways,Santana,Evil Ways,Santana
1970,70,No Time,The Guess Who,No Time,The Guess Who
1970,71,Didn't I,The Delfonics,Didn't I (Blow Your Mind This Time),The Delfonics
1970,72,The Wonder of You,Elvis Presley,The Wonder of You,Elvis Presley
1970,73,Up Around the Bend,Creedence Clearwater Revival,Up Around the Bend,Creedence Clearwater Revival
1970,74,(If You Let Me Make Love To You Then) Why Can't I Touch You?,Ronnie Dyson,(If You Let Me Make Love To You Then) Why Can't I Touch You?,Ronnie Dyson
1970,75,I Just Can't Help Believing,B.J. Thomas,I Just Can't Help Believing,B.J. Thomas
1970,76,It's a Shame,The Spinners,It's a Shame,The Spinners
1970,77,For the Love of Him,Bobbi Martin,For the Love of Him,Bobbi Martin
1970,78,Mississippi Queen,Mountain,Mississippi Queen,Mountain
1970,79,I Want to Take You Higher,Ike,I Want to Take You Higher,Ike & Tina Turner
1970,80,The Letter,Joe Cocker,The Letter,Joe Cocker
1970,81,Ma Belle Amie,Tee-Set,Ma Belle Amie,Tee-Set
1970,82,The Bells,The Originals,The Bells,The Originals
1970,83,Yellow River,Christie,Yellow River,Christie
1970,84,Somebody's Been Sleeping,100 Proof (Aged in Soul),Somebody's Been Sleeping,100 Proof (Aged in Soul)
1970,85,Vehicle,The Ides of March,Vehicle,The Ides of March
1970,86,Gimme Dat Ding,The Pipkins,Gimme Dat Ding,The Pipkins
1970,87,Lay a Little Lovin' on Me,Robin McNamara,Lay a Little Lovin' on Me,Robin McNamara
1970,88,Up the Ladder to the Roof,The Supremes,Up the Ladder to the Roof,The Supremes
1970,89,Travelin' Band,Creedence Clearwater Revival,Travelin' Band,Creedence Clearwater Revival
1970,90,Come Saturday Morning,The Sandpipers,Come Saturday Morning,The Sandpipers
1970,91,Psychedelic Shack,The Temptations,Psychedelic Shack,The Temptations
1970,92,Without Love,Tom Jones,Without Love (There Is Nothing),Tom Jones
1970,93,Are You Ready?,Pacific Gas,Are You Ready?,Pacific Gas & Electric
1970,94,Woodstock,"Crosby, Stills, Nash",Woodstock,"Crosby, Stills, Nash & Young"
1970,95,I'll Never Fall in Love Again,Dionne Warwick,I'll Never Fall in Love Again,Dionne Warwick
1970,96,Look What They've Done to My Song Ma,The New Seekers,Look What They've Done to My Song Ma,The New Seekers
1970,97,Walk A Mile In My Shoes,Joe South,Walk A Mile In My Shoes,Joe South
1970,98,The Thrill Is Gone,B.B. King,The Thrill Is Gone,B.B. King
1970,99,It's Only Make Believe,Glen Campbell,It's Only Make Believe,Glen Campbell
1970,100,Call Me,Aretha Franklin,Call Me,Aretha Franklin
