Year,Rank,Track_Title,Artist_Name,Raw_Track_Title,Raw_Artist_Name
1969,1,"Sugar, Sugar",The Archies,"Sugar, Sugar",The Archies
1969,2,Aquarius/Let the Sunshine In,The 5th Dimension,Aquarius/Let the Sunshine In,The 5th Dimension
1969,3,I Can't Get Next to You,The Temptations,I Can't Get Next to You,The Temptations
1969,4,Honky Tonk Women,The Rolling Stones,Honky Tonk Women,The Rolling Stones
1969,5,Everyday People,Sly,Everyday People,Sly and the Family Stone
1969,6,Dizzy,Tommy Roe,Dizzy,Tommy Roe
1969,7,Hot Fun in the Summertime,Sly,Hot Fun in the Summertime,Sly and the Family Stone
1969,8,I'll Never Fall in Love Again,Tom Jones,I'll Never Fall in Love Again,Tom Jones
1969,9,Build Me Up Buttercup,The Foundations,Build Me Up Buttercup,The Foundations
1969,10,Crimson and Clover,Tommy James,Crimson and Clover,Tommy James and the Shondells
1969,11,One,Three Dog Night,One,Three Dog Night
1969,12,Crystal Blue Persuasion,Tommy James,Crystal Blue Persuasion,Tommy James and the Shondells
1969,13,Hair,The Cowsills,Hair,The Cowsills
1969,14,Too Busy Thinking About My Baby,Marvin Gaye,Too Busy Thinking About My Baby,Marvin Gaye
1969,15,Love Theme from Romeo and Juliet,Henry Mancini,Love Theme from Romeo and Juliet,Henry Mancini
1969,16,Get Together,The Youngbloods,Get Together,The Youngbloods
1969,17,Grazing in the Grass,The Friends of Distinction,Grazing in the Grass,The Friends of Distinction
1969,18,Suspicious Minds,Elvis Presley,Suspicious Minds,Elvis Presley
1969,19,Proud Mary,Creedence Clearwater Revival,Proud Mary,Creedence Clearwater Revival
1969,20,What Does It Take,Jr. Walker,What Does It Take (To Win Your Love),Jr. Walker & The All Stars
1969,21,It's Your Thing,The Isley Brothers,It's Your Thing,The Isley Brothers
1969,22,Sweet Caroline,Neil Diamond,Sweet Caroline,Neil Diamond
1969,23,Jean,Oliver,Jean,Oliver
1969,24,Bad Moon Rising,Creedence Clearwater Revival,Bad Moon Rising,Creedence Clearwater Revival
1969,25,Get Back,The Beatles,Get Back,The Beatles with Billy Preston
1969,26,In the Year 2525,Zager,In the Year 2525,Zager & Evans
1969,27,Spinning Wheel,"Blood, Sweat",Spinning Wheel,"Blood, Sweat & Tears"
1969,28,"Baby, I Love You",Andy Kim,"Baby, I Love You",Andy Kim
1969,29,Going in Circles,The Friends of Distinction,Going in Circles,The Friends of Distinction
1969,30,Hurt So Bad,The Lettermen,Hurt So Bad,The Lettermen
1969,31,Green River,Creedence Clearwater Revival,Green River,Creedence Clearwater Revival
1969,32,My Cherie Amour,Stevie Wonder,My Cherie Amour,Stevie Wonder
1969,33,Easy to Be Hard,Three Dog Night,Easy to Be Hard,Three Dog Night
1969,34,Baby It's You,Smith,Baby It's You,Smith
1969,35,In the Ghetto,Elvis Presley,In the Ghetto,Elvis Presley
1969,36,A Boy Named Sue,Johnny Cash,A Boy Named Sue,Johnny Cash
1969,37,"Baby, Baby Don't Cry",The Miracles,"Baby, Baby Don't Cry",The Miracles
1969,38,Only the Strong Survive,Jerry Butler,Only the Strong Survive,Jerry Butler
1969,39,Time of the Season,The Zombies,Time of the Season,The Zombies
1969,40,Wedding Bell Blues,The 5th Dimension,Wedding Bell Blues,The 5th Dimension
1969,41,Little Woman,Bobby Sherman,Little Woman,Bobby Sherman
1969,42,Love,Mercy,Love (Can Make You Happy),Mercy
1969,43,Good Morning Starshine,Oliver,Good Morning Starshine,Oliver
1969,44,These Eyes,The Guess Who,These Eyes,The Guess Who
1969,45,You've Made Me So Very Happy,"Blood, Sweat",You've Made Me So Very Happy,"Blood, Sweat & Tears"
1969,46,Put a Little Love in Your Heart,Jackie DeShannon,Put a Little Love in Your Heart,Jackie DeShannon
1969,47,Do Your Thing,Charles Wright,Do Your Thing,Charles Wright & the Watts 103rd Street Rhythm Band
1969,48,I'd Wait a Million Years,The Grass Roots,I'd Wait a Million Years,The Grass Roots
1969,49,Touch Me,The Doors,Touch Me,The Doors
1969,50,More Today Than Yesterday,Spiral Starecase,More Today Than Yesterday,Spiral Starecase
1969,51,I've Gotta Be Me,Sammy Davis Jr.,I've Gotta Be Me,Sammy Davis Jr.
1969,52,Lay Lady Lay,Bob Dylan,Lay Lady Lay,Bob Dylan
1969,53,Atlantis,Donovan,Atlantis,Donovan
1969,54,Traces,Classics IV,Traces,Classics IV
1969,55,It's Getting Better,Mama Cass Elliot,It's Getting Better,Mama Cass Elliot
1969,56,This Magic Moment,Jay,This Magic Moment,Jay and the Americans
1969,57,"Runaway Child, Running Wild",The Temptations,"Runaway Child, Running Wild",The Temptations
1969,58,Hawaii Five-O,The Ventures,Hawaii Five-O,The Ventures
1969,59,Galveston,Glen Campbell,Galveston,Glen Campbell
1969,60,I'm Gonna Make You Mine,Lou Christie,I'm Gonna Make You Mine,Lou Christie
1969,61,Gitarzan,Ray Stevens,Gitarzan,Ray Stevens
1969,62,Can I Change My Mind,Tyrone Davis,Can I Change My Mind,Tyrone Davis
1969,63,Time Is Tight,Booker T.,Time Is Tight,Booker T. & the M.G.'s
1969,64,This Girl's in Love With You,Dionne Warwick,This Girl's in Love With You,Dionne Warwick
1969,65,Color Him Father,The Winstons,Color Him Father,The Winstons
1969,66,Black Pearl,"Checkmates, Ltd.",Black Pearl,"Checkmates, Ltd."
1969,67,Indian Giver,1910 Fruitgum Company,Indian Giver,1910 Fruitgum Company
1969,68,Mother Popcorn,James Brown,Mother Popcorn,James Brown
1969,69,Twenty-Five Miles,Edwin Starr,Twenty-Five Miles,Edwin Starr
1969,70,Things I'd Like to Say,New Colony Six,Things I'd Like to Say,New Colony Six
1969,71,When I Die,Motherlode,When I Die,Motherlode
1969,72,That's the Way Love Is,Marvin Gaye,That's the Way Love Is,Marvin Gaye
1969,73,Everybody's Talkin',Harry Nilsson,Everybody's Talkin',Harry Nilsson
1969,74,Worst That Could Happen,The Brooklyn Bridge,Worst That Could Happen,The Brooklyn Bridge
1969,75,The Chokin' Kind,Joe Simon,The Chokin' Kind,Joe Simon
1969,76,Smile a Little Smile for Me,The Flying Machine,Smile a Little Smile for Me,The Flying Machine
1969,77,Polk Salad Annie,Tony Joe White,Polk Salad Annie,Tony Joe White
