Year,Rank,Track_Title,Artist_Name,Raw_Track_Title,Raw_Artist_Name
2022,1,Heat Waves,Glass Animals,Heat Waves,Glass Animals
2022,2,As It Was,Harry Styles,As It Was,Harry Styles
2022,3,Stay,The Kid Laroi,Stay,The Kid Laroi and Justin Bieber
2022,4,Easy on Me,Adele,Easy on Me,Adele
2022,5,Shivers,Ed Sheeran,Shivers,Ed Sheeran
2022,6,First Class,Jack Harlow,First Class,Jack Harlow
2022,7,Big Energy,Latto,Big Energy,Latto
2022,8,Ghost,Justin Bieber,Ghost,Justin Bieber
2022,9,Super Gremlin,Kodak Black,Super Gremlin,Kodak Black
2022,10,Cold Heart,Elton John,Cold Heart (Pnau Remix),Elton John and Dua Lipa
2022,11,Wait for U,Future,Wait for U,Future featuring Drake and Tems
2022,12,About Damn Time,Lizzo,About Damn Time,Lizzo
2022,13,Bad Habits,Ed Sheeran,Bad Habits,Ed Sheeran
2022,14,Thats What I Want,Lil Nas X,Thats What I Want,Lil Nas X
2022,15,Enemy,Imagine Dragons,Enemy,Imagine Dragons and JID
2022,16,Industry Baby,Lil Nas,Industry Baby,Lil Nas X and Jack Harlow
2022,17,ABCDEFU,Gayle,ABCDEFU,Gayle
2022,18,Need to Know,Doja Cat,Need to Know,Doja Cat
2022,19,Wasted on You,Morgan Wallen,Wasted on You,Morgan Wallen
2022,20,Me Porto Bonito,Bad Bunny,Me Porto Bonito,Bad Bunny and Chencho Corleone
2022,21,Woman,Doja Cat,Woman,Doja Cat
2022,22,Tití Me Preguntó,Bad Bunny,Tití Me Preguntó,Bad Bunny
2022,23,Running Up That Hill,Kate Bush,Running Up That Hill (A Deal with God),Kate Bush
2022,24,We Don't Talk About Bruno,"Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz",We Don't Talk About Bruno,"Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz and the Encanto cast"
2022,25,Late Night Talking,Harry Styles,Late Night Talking,Harry Styles
2022,26,I Like You,Post Malone,I Like You (A Happier Song),Post Malone featuring Doja Cat
2022,27,You Proof,Morgan Wallen,You Proof,Morgan Wallen
2022,28,Bad Habit,Steve Lacy,Bad Habit,Steve Lacy
2022,29,Sunroof,Nicky Youre,Sunroof,Nicky Youre and Dazy
2022,30,One Right Now,Post Malone,One Right Now,Post Malone and the Weeknd
2022,31,Good 4 U,Olivia Rodrigo,Good 4 U,Olivia Rodrigo
2022,32,Numb Little Bug,Em Beihold,Numb Little Bug,Em Beihold
2022,33,Jimmy Cooks,Drake,Jimmy Cooks,Drake featuring 21 Savage
2022,34,'Til You Can't,Cody Johnson,'Til You Can't,Cody Johnson
2022,35,Fancy Like,Walker Hayes,Fancy Like,Walker Hayes
2022,36,The Kind of Love We Make,Luke Combs,The Kind of Love We Make,Luke Combs
2022,37,I Ain't Worried,OneRepublic,I Ain't Worried,OneRepublic
2022,38,Break My Soul,Beyoncé,Break My Soul,Beyoncé
2022,39,Something in the Orange,Zach Bryan,Something in the Orange,Zach Bryan
2022,40,Save Your Tears,The Weeknd,Save Your Tears,The Weeknd and Ariana Grande
2022,41,Smokin out the Window,Silk Sonic (Bruno Mars,Smokin out the Window,Silk Sonic (Bruno Mars and Anderson .Paak)
