Year,Rank,Track_Title,Artist_Name,Raw_Track_Title,Raw_Artist_Name
1984,1,When Doves Cry,Prince,When Doves Cry,Prince
1984,2,What's Love Got to Do with It,Tina Turner,What's Love Got to Do with It,Tina Turner
1984,3,"Say, Say, Say",Paul McCartney,"Say, Say, Say",Paul McCartney and Michael Jackson
1984,4,Footloose,Kenny Loggins,Footloose,Kenny Loggins
1984,5,Against All Odds,Phil Collins,Against All Odds (Take a Look at Me Now),Phil Collins
1984,6,Jump,Van Halen,Jump,Van Halen
1984,7,Hello,Lionel Richie,Hello,Lionel Richie
1984,8,Owner of a Lonely Heart,Yes,Owner of a Lonely Heart,Yes
1984,9,Ghostbusters,Ray Parker Jr.,Ghostbusters,Ray Parker Jr.
1984,10,Karma Chameleon,Culture Club,Karma Chameleon,Culture Club
1984,11,Missing You,John Waite,Missing You,John Waite
1984,12,All Night Long,Lionel Richie,All Night Long (All Night),Lionel Richie
1984,13,Let's Hear It for the Boy,Deniece Williams,Let's Hear It for the Boy,Deniece Williams
1984,14,Dancing in the Dark,Bruce Springsteen,Dancing in the Dark,Bruce Springsteen
1984,15,Girls Just Want to Have Fun,Cyndi Lauper,Girls Just Want to Have Fun,Cyndi Lauper
1984,16,The Reflex,Duran Duran,The Reflex,Duran Duran
1984,17,Time After Time,Cyndi Lauper,Time After Time,Cyndi Lauper
1984,18,Jump,The Pointer Sisters,Jump (For My Love),The Pointer Sisters
1984,19,Talking in Your Sleep,The Romantics,Talking in Your Sleep,The Romantics
1984,20,Self Control,Laura Branigan,Self Control,Laura Branigan
1984,21,Let's Go Crazy,Prince,Let's Go Crazy,Prince & the Revolution
1984,22,Say It Isn't So,Daryl Hall,Say It Isn't So,Daryl Hall & John Oates
1984,23,Hold Me Now,Thompson Twins,Hold Me Now,Thompson Twins
1984,24,Joanna,Kool,Joanna,Kool & the Gang
1984,25,I Just Called to Say I Love You,Stevie Wonder,I Just Called to Say I Love You,Stevie Wonder
1984,26,Somebody's Watching Me,Rockwell,Somebody's Watching Me,Rockwell
1984,27,Break My Stride,Matthew Wilder,Break My Stride,Matthew Wilder
1984,28,99 Luftballons/99 Red Balloons,Nena,99 Luftballons/99 Red Balloons,Nena
1984,29,I Can Dream About You,Dan Hartman,I Can Dream About You,Dan Hartman
1984,30,The Glamorous Life,Sheila E.,The Glamorous Life,Sheila E.
1984,31,Oh Sherrie,Steve Perry,Oh Sherrie,Steve Perry
1984,32,Stuck on You,Lionel Richie,Stuck on You,Lionel Richie
1984,33,I Guess That's Why They Call It the Blues,Elton John,I Guess That's Why They Call It the Blues,Elton John
1984,34,She Bop,Cyndi Lauper,She Bop,Cyndi Lauper
1984,35,Borderline,Madonna,Borderline,Madonna
1984,36,Sunglasses at Night,Corey Hart,Sunglasses at Night,Corey Hart
1984,37,Eyes Without a Face,Billy Idol,Eyes Without a Face,Billy Idol
1984,38,Here Comes the Rain Again,Eurythmics,Here Comes the Rain Again,Eurythmics
1984,39,Uptown Girl,Billy Joel,Uptown Girl,Billy Joel
1984,40,Sister Christian,Night Ranger,Sister Christian,Night Ranger
1984,41,Drive,The Cars,Drive,The Cars
1984,42,Twist of Fate,Olivia Newton-John,Twist of Fate,Olivia Newton-John
1984,43,Union of the Snake,Duran Duran,Union of the Snake,Duran Duran
1984,44,The Heart of Rock & Roll,Huey Lewis,The Heart of Rock & Roll,Huey Lewis and the News
1984,45,Hard Habit to Break,Chicago,Hard Habit to Break,Chicago
1984,46,The Warrior,Scandal,The Warrior,Scandal
1984,47,If Ever You're in My Arms Again,Peabo Bryson,If Ever You're in My Arms Again,Peabo Bryson
1984,48,Automatic,The Pointer Sisters,Automatic,The Pointer Sisters
1984,49,Let the Music Play,Shannon,Let the Music Play,Shannon
1984,50,To All the Girls I've Loved Before,Julio Iglesias,To All the Girls I've Loved Before,Julio Iglesias and Willie Nelson
1984,51,Caribbean Queen,Billy Ocean,Caribbean Queen (No More Love on the Run),Billy Ocean
1984,52,That's All,Genesis,That's All,Genesis
1984,53,Running with the Night,Lionel Richie,Running with the Night,Lionel Richie
1984,54,Sad Songs,Elton John,Sad Songs (Say So Much),Elton John
1984,55,I Want a New Drug,Huey Lewis,I Want a New Drug,Huey Lewis and the News
1984,56,Islands in the Stream,Kenny Rogers,Islands in the Stream,Kenny Rogers and Dolly Parton
1984,57,Love Is a Battlefield,Pat Benatar,Love Is a Battlefield,Pat Benatar
1984,58,Infatuation,Rod Stewart,Infatuation,Rod Stewart
1984,59,Almost Paradise,Mike Reno,Almost Paradise,Mike Reno and Ann Wilson
1984,60,Legs,ZZ Top,Legs,ZZ Top
1984,61,State of Shock,The Jacksons,State of Shock,The Jacksons
1984,62,Love Somebody,Rick Springfield,Love Somebody,Rick Springfield
1984,63,Miss Me Blind,Culture Club,Miss Me Blind,Culture Club
1984,64,If This Is It,Huey Lewis,If This Is It,Huey Lewis and the News
1984,65,You Might Think,The Cars,You Might Think,The Cars
1984,66,Lucky Star,Madonna,Lucky Star,Madonna
1984,67,Cover Me,Bruce Springsteen,Cover Me,Bruce Springsteen
1984,68,Cum on Feel the Noize,Quiet Riot,Cum on Feel the Noize,Quiet Riot
1984,69,Breakdance,Irene Cara,Breakdance,Irene Cara
1984,70,Adult Education,Daryl Hall,Adult Education,Daryl Hall & John Oates
1984,71,They Don't Know,Tracey Ullman,They Don't Know,Tracey Ullman
1984,72,An Innocent Man,Billy Joel,An Innocent Man,Billy Joel
1984,73,Cruel Summer,Bananarama,Cruel Summer,Bananarama
1984,74,Dance Hall Days,Wang Chung,Dance Hall Days,Wang Chung
1984,75,Give It Up,KC,Give It Up,KC and the Sunshine Band
