Year,Rank,Track_Title,Artist_Name,Raw_Track_Title,Raw_Artist_Name
2023,1,Last Night,Morgan Wallen,Last Night,Morgan Wallen
2023,2,Flowers,Miley Cyrus,Flowers,Miley Cyrus
2023,3,Kill Bill,SZA,Kill Bill,SZA
2023,4,Anti-Hero,Taylor Swift,Anti-Hero,Taylor Swift
2023,5,Creepin',"Metro Boomin, the Weeknd",Creepin',"Metro Boomin, the Weeknd and 21 Savage"
2023,6,Calm Down,Rema,Calm Down,Rema and Selena Gomez
2023,7,Die for You,The Weeknd,Die for You,The Weeknd and Ariana Grande
2023,8,Fast Car,Luke Combs,Fast Car,Luke Combs
2023,9,Snooze,SZA,Snooze,SZA
2023,10,I'm Good,David Guetta,I'm Good (Blue),David Guetta and Bebe Rexha
2023,11,Unholy,Sam Smith,Unholy,Sam Smith and Kim Petras
2023,12,You Proof,Morgan Wallen,You Proof,Morgan Wallen
2023,13,Something in the Orange,Zach Bryan,Something in the Orange,Zach Bryan
2023,14,Rich Flex,Drake,Rich Flex,Drake and 21 Savage
2023,15,As It Was,Harry Styles,As It Was,Harry Styles
2023,16,Rock and a Hard Place,Bailey Zimmerman,Rock and a Hard Place,Bailey Zimmerman
2023,17,Under the Influence,Chris Brown,Under the Influence,Chris Brown
2023,18,Cruel Summer,Taylor Swift,Cruel Summer,Taylor Swift
2023,19,Thinkin' Bout Me,Morgan Wallen,Thinkin' Bout Me,Morgan Wallen
2023,20,Boy's a Liar Pt. 2,PinkPantheress,Boy's a Liar Pt. 2,PinkPantheress and Ice Spice
2023,21,Favorite Song,Toosii,Favorite Song,Toosii
2023,22,Thought You Should Know,Morgan Wallen,Thought You Should Know,Morgan Wallen
2023,23,Thank God,Kane Brown,Thank God,Kane Brown and Katelyn Brown
2023,24,Sure Thing,Miguel,Sure Thing,Miguel
2023,25,All My Life,Lil Durk,All My Life,Lil Durk featuring J. Cole
2023,26,Ella Baila Sola,Eslabon Armado,Ella Baila Sola,Eslabon Armado and Peso Pluma
2023,27,Karma,Taylor Swift,Karma,Taylor Swift featuring Ice Spice
2023,28,Just Wanna Rock,Lil Uzi Vert,Just Wanna Rock,Lil Uzi Vert
2023,29,Cuff It,Beyoncé,Cuff It,Beyoncé
2023,30,Vampire,Olivia Rodrigo,Vampire,Olivia Rodrigo
2023,31,FukUMean,Gunna,FukUMean,Gunna
2023,32,Lavender Haze,Taylor Swift,Lavender Haze,Taylor Swift
2023,33,Players,Coi Leray,Players,Coi Leray
2023,34,Need a Favor,Jelly Roll,Need a Favor,Jelly Roll
2023,35,Dance the Night,Dua Lipa,Dance the Night,Dua Lipa
2023,36,Love You Anyway,Luke Combs,Love You Anyway,Luke Combs
2023,37,One Thing at a Time,Morgan Wallen,One Thing at a Time,Morgan Wallen
2023,38,Superhero,"Metro Boomin, Future",Superhero (Heroes & Villains),"Metro Boomin, Future and Chris Brown"
2023,39,Bad Habit,Steve Lacy,Bad Habit,Steve Lacy
2023,40,La Bebé,Yng Lvcas,La Bebé,Yng Lvcas and Peso Pluma
2023,41,Golden Hour,Jvke,Golden Hour,Jvke
2023,42,Religiously,Bailey Zimmerman,Religiously,Bailey Zimmerman
2023,43,Spin Bout U,Drake,Spin Bout U,Drake and 21 Savage
2023,44,Cupid,Fifty Fifty,Cupid,Fifty Fifty
2023,45,Search & Rescue,Drake,Search & Rescue,Drake
2023,46,Barbie World,Nicki Minaj,Barbie World,Nicki Minaj and Ice Spice with Aqua
2023,47,Next Thing You Know,Jordan Davis,Next Thing You Know,Jordan Davis
2023,48,Escapism,Raye,Escapism,Raye featuring 070 Shake
2023,49,Un x100to,Grupo Frontera,Un x100to,Grupo Frontera and Bad Bunny
2023,50,Until I Found You,Stephen Sanchez,Until I Found You,Stephen Sanchez
2023,51,Shirt,SZA,Shirt,SZA
2023,52,Paint the Town Red,Doja Cat,Paint the Town Red,Doja Cat
2023,53,Made You Look,Meghan Trainor,Made You Look,Meghan Trainor
2023,54,Wait in the Truck,Hardy,Wait in the Truck,Hardy featuring Lainey Wilson
2023,55,All I Want for Christmas Is You,Mariah Carey,All I Want for Christmas Is You,Mariah Carey
2023,56,Everything I Love,Morgan Wallen,Everything I Love,Morgan Wallen
2023,57,Chemical,Post Malone,Chemical,Post Malone
2023,58,Heart Like a Truck,Lainey Wilson,Heart Like a Truck,Lainey Wilson
2023,59,"Going, Going, Gone",Luke Combs,"Going, Going, Gone",Luke Combs
2023,60,Rockin' Around the Christmas Tree,Brenda Lee,Rockin' Around the Christmas Tree,Brenda Lee
2023,61,Dancin' in the Country,Tyler Hubbard,Dancin' in the Country,Tyler Hubbard
2023,62,Daylight,David Kushner,Daylight,David Kushner
2023,63,Lift Me Up,Rihanna,Lift Me Up,Rihanna
2023,64,Eyes Closed,Ed Sheeran,Eyes Closed,Ed Sheeran
2023,65,TQG,Karol G,TQG,Karol G and Shakira
2023,66,Try That in a Small Town,Jason Aldean,Try That in a Small Town,Jason Aldean
2023,67,Tennessee Orange,Megan Moroney,Tennessee Orange,Megan Moroney
2023,68,Jingle Bell Rock,Bobby Helms,Jingle Bell Rock,Bobby Helms
