Year,Rank,Track_Title,Artist_Name,Raw_Track_Title,Raw_Artist_Name
2021,1,Levitating,Dua Lipa,Levitating,Dua Lipa
2021,2,Save Your Tears,The Weeknd,Save Your Tears,The Weeknd and Ariana Grande
2021,3,Blinding Lights,The Weeknd,Blinding Lights,The Weeknd
2021,4,Mood,24kGoldn,Mood,24kGoldn featuring Iann Dior
2021,5,Good 4 U,Olivia Rodrigo,Good 4 U,Olivia Rodrigo
2021,6,Kiss Me More,Doja Cat,Kiss Me More,Doja Cat featuring SZA
2021,7,Leave the Door Open,Silk Sonic (Bruno Mars,Leave the Door Open,Silk Sonic (Bruno Mars and Anderson .Paak)
2021,8,Drivers License,Olivia Rodrigo,Drivers License,Olivia Rodrigo
2021,9,Montero,Lil Nas X,Montero (Call Me by Your Name),Lil Nas X
2021,10,Peaches,Justin Bieber,Peaches,Justin Bieber featuring Daniel Caesar and Giveon
2021,11,Butter,BTS,Butter,BTS
2021,12,Stay,The Kid Laroi,Stay,The Kid Laroi and Justin Bieber
2021,13,Deja Vu,Olivia Rodrigo,Deja Vu,Olivia Rodrigo
2021,14,Positions,Ariana Grande,Positions,Ariana Grande
2021,15,Bad Habits,Ed Sheeran,Bad Habits,Ed Sheeran
2021,16,Heat Waves,Glass Animals,Heat Waves,Glass Animals
2021,17,Without You,The Kid Laroi,Without You,The Kid Laroi
2021,18,Forever After All,Luke Combs,Forever After All,Luke Combs
2021,19,Go Crazy,Chris Brown,Go Crazy,Chris Brown and Young Thug
2021,20,Astronaut in the Ocean,Masked Wolf,Astronaut in the Ocean,Masked Wolf
2021,21,34+35,Ariana Grande,34+35,Ariana Grande featuring Doja Cat and Megan Thee Stallion
2021,22,What You Know Bout Love,Pop Smoke,What You Know Bout Love,Pop Smoke
2021,23,My Ex's Best Friend,Machine Gun Kelly,My Ex's Best Friend,Machine Gun Kelly featuring Blackbear
2021,24,Industry Baby,Lil Nas,Industry Baby,Lil Nas X and Jack Harlow
2021,25,Therefore I Am,Billie Eilish,Therefore I Am,Billie Eilish
2021,26,Up,Cardi B,Up,Cardi B
2021,27,Fancy Like,Walker Hayes,Fancy Like,Walker Hayes
2021,28,Dakiti,Bad Bunny,Dakiti,Bad Bunny and Jhay Cortez
2021,29,Best Friend,Saweetie,Best Friend,Saweetie featuring Doja Cat
2021,30,Rapstar,Polo G,Rapstar,Polo G
2021,31,Heartbreak Anniversary,Giveon,Heartbreak Anniversary,Giveon
2021,32,For the Night,Pop Smoke,For the Night,Pop Smoke featuring Lil Baby and DaBaby
2021,33,Calling My Phone,Lil Tjay,Calling My Phone,Lil Tjay and 6lack
2021,34,Beautiful Mistakes,Maroon 5,Beautiful Mistakes,Maroon 5 featuring Megan Thee Stallion
2021,35,Holy,Justin Bieber,Holy,Justin Bieber featuring Chance the Rapper
2021,36,On Me,Lil Baby,On Me,Lil Baby
2021,37,You Broke Me First,Tate McRae,You Broke Me First,Tate McRae
2021,38,Traitor,Olivia Rodrigo,Traitor,Olivia Rodrigo
2021,39,Back in Blood,Pooh Shiesty,Back in Blood,Pooh Shiesty featuring Lil Durk
2021,40,I Hope,Gabby Barrett,I Hope,Gabby Barrett featuring Charlie Puth
2021,41,Dynamite,BTS,Dynamite,BTS
2021,42,Wockesha,Moneybagg Yo,Wockesha,Moneybagg Yo
2021,43,You Right,Doja Cat,You Right,Doja Cat and the Weeknd
2021,44,Beat Box 2,SpotemGottem,Beat Box 2 / Beat Box 3,SpotemGottem featuring Pooh Shiesty / SpotemGottem featuring DaBaby
2021,45,Laugh Now Cry Later,Drake,Laugh Now Cry Later,Drake featuring Lil Durk
2021,46,Need to Know,Doja Cat,Need to Know,Doja Cat
2021,47,Wants and Needs,Drake,Wants and Needs,Drake featuring Lil Baby
2021,48,Way 2 Sexy,Drake,Way 2 Sexy,Drake featuring Future and Young Thug
2021,49,Telepatía,Kali Uchis,Telepatía,Kali Uchis
