Year,Rank,Track_Title,Artist_Name,Raw_Track_Title,Raw_Artist_Name
1972,1,The First Time Ever I Saw Your Face,Roberta Flack,The First Time Ever I Saw Your Face,Roberta Flack
1972,2,Alone Again,Gilbert O'Sullivan,Alone Again (Naturally),Gilbert O'Sullivan
1972,3,American Pie,Don McLean,American Pie,Don McLean
1972,4,Without You,Harry Nilsson,Without You,Harry Nilsson
1972,5,The Candy Man,Sammy Davis Jr.,The Candy Man,Sammy Davis Jr.
1972,6,I Gotcha,Joe Tex,I Gotcha,Joe Tex
1972,7,Lean on Me,Bill Withers,Lean on Me,Bill Withers
1972,8,"Baby, Don't Get Hooked on Me",Mac Davis,"Baby, Don't Get Hooked on Me",Mac Davis
1972,9,Brand New Key,Melanie,Brand New Key,Melanie
1972,10,Daddy Don't You Walk So Fast,Wayne Newton,Daddy Don't You Walk So Fast,Wayne Newton
1972,11,Let's Stay Together,Al Green,Let's Stay Together,Al Green
1972,12,Brandy,Looking Glass,Brandy (You're a Fine Girl),Looking Glass
1972,13,Oh Girl,The Chi-Lites,Oh Girl,The Chi-Lites
1972,14,Nice to Be with You,Gallery,Nice to Be with You,Gallery
1972,15,My Ding-a-Ling,Chuck Berry,My Ding-a-Ling,Chuck Berry
1972,16,(If Loving You Is Wrong) I Don't Want to Be Right,Luther Ingram,(If Loving You Is Wrong) I Don't Want to Be Right,Luther Ingram
1972,17,Heart of Gold,Neil Young,Heart of Gold,Neil Young
1972,18,"Betcha by Golly, Wow",The Stylistics,"Betcha by Golly, Wow",The Stylistics
1972,19,I'll Take You There,The Staple Singers,I'll Take You There,The Staple Singers
1972,20,Ben,Michael Jackson,Ben,Michael Jackson
1972,21,The Lion Sleeps Tonight,Robert John,The Lion Sleeps Tonight,Robert John
1972,22,Outa-Space,Billy Preston,Outa-Space,Billy Preston
1972,23,Slippin' into Darkness,War,Slippin' into Darkness,War
1972,24,Long Cool Woman in a Black Dress,The Hollies,Long Cool Woman in a Black Dress,The Hollies
1972,25,How Do You Do,Mouth,How Do You Do,Mouth & MacNeal
1972,26,Song Sung Blue,Neil Diamond,Song Sung Blue,Neil Diamond
1972,27,A Horse with No Name,America,A Horse with No Name,America
1972,28,Popcorn,Hot Butter,Popcorn,Hot Butter
1972,29,Everybody Plays the Fool,The Main Ingredient,Everybody Plays the Fool,The Main Ingredient
1972,30,Precious and Few,Climax,Precious and Few,Climax
1972,31,(Last Night) I Didn't Get to Sleep at All,The 5th Dimension,(Last Night) I Didn't Get to Sleep at All,The 5th Dimension
1972,32,Nights in White Satin,The Moody Blues,Nights in White Satin,The Moody Blues
1972,33,Go All the Way,Raspberries,Go All the Way,Raspberries
1972,34,Too Late to Turn Back Now,Cornelius Brothers,Too Late to Turn Back Now,Cornelius Brothers & Sister Rose
1972,35,Back Stabbers,The O'Jays,Back Stabbers,The O'Jays
1972,36,Down by the Lazy River,The Osmonds,Down by the Lazy River,The Osmonds
1972,37,Sunshine,Jonathan Edwards,Sunshine,Jonathan Edwards
1972,38,Starting All Over Again,Mel,Starting All Over Again,Mel and Tim
1972,39,Day After Day,Badfinger,Day After Day,Badfinger
1972,40,Rocket Man,Elton John,Rocket Man,Elton John
1972,41,Rockin' Robin,Michael Jackson,Rockin' Robin,Michael Jackson
1972,42,Beautiful Sunday,Daniel Boone,Beautiful Sunday,Daniel Boone
1972,43,Scorpio,Dennis Coffey,Scorpio,Dennis Coffey
1972,44,Morning Has Broken,Cat Stevens,Morning Has Broken,Cat Stevens
1972,45,City of New Orleans,Arlo Guthrie,City of New Orleans,Arlo Guthrie
1972,46,Garden Party,Ricky Nelson,Garden Party,Ricky Nelson
1972,47,I Can See Clearly Now,Johnny Nash,I Can See Clearly Now,Johnny Nash
1972,48,Burning Love,Elvis Presley,Burning Love,Elvis Presley
1972,49,Clean Up Woman,Betty Wright,Clean Up Woman,Betty Wright
1972,50,Hold Your Head Up,Argent,Hold Your Head Up,Argent
1972,51,Jungle Fever,The Chakachas,Jungle Fever,The Chakachas
1972,52,Everything I Own,Bread,Everything I Own,Bread
1972,53,In the Rain,The Dramatics,In the Rain,The Dramatics
1972,54,Look What You Done for Me,Al Green,Look What You Done for Me,Al Green
1972,55,The Happiest Girl in the Whole U.S.A.,Donna Fargo,The Happiest Girl in the Whole U.S.A.,Donna Fargo
1972,56,Bang a Gong,T. Rex,Bang a Gong (Get it On),T. Rex
1972,57,Mother and Child Reunion,Paul Simon,Mother and Child Reunion,Paul Simon
1972,58,Where Is the Love,Roberta Flack,Where Is the Love,Roberta Flack & Donny Hathaway
1972,59,I'm Still in Love with You,Al Green,I'm Still in Love with You,Al Green
1972,60,Layla,Derek,Layla,Derek and the Dominos
1972,61,Day Dreaming,Aretha Franklin,Day Dreaming,Aretha Franklin
1972,62,The Way of Love,Cher,The Way of Love,Cher
1972,63,Black and White,Three Dog Night,Black and White,Three Dog Night
1972,64,Sylvia's Mother,Dr. Hook,Sylvia's Mother,Dr. Hook & the Medicine Show
1972,65,Hurting Each Other,The Carpenters,Hurting Each Other,The Carpenters
1972,66,Coconut,Harry Nilsson,Coconut,Harry Nilsson
1972,67,Puppy Love,Donny Osmond,Puppy Love,Donny Osmond
1972,68,You Don't Mess Around with Jim,Jim Croce,You Don't Mess Around with Jim,Jim Croce
1972,69,Hot Rod Lincoln,Commander Cody,Hot Rod Lincoln,Commander Cody and His Lost Planet Airmen
1972,70,A Cowboy's Work Is Never Done,Sonny,A Cowboy's Work Is Never Done,Sonny & Cher
1972,71,Joy,Apollo 100,Joy,Apollo 100
1972,72,Anticipation,Carly Simon,Anticipation,Carly Simon
1972,73,Never Been to Spain,Three Dog Night,Never Been to Spain,Three Dog Night
1972,74,Kiss an Angel Good Mornin',Charley Pride,Kiss an Angel Good Mornin',Charley Pride
1972,75,School's Out,Alice Cooper,School's Out,Alice Cooper
1972,76,Saturday in the Park,Chicago,Saturday in the Park,Chicago
1972,77,Drowning in the Sea of Love,Joe Simon,Drowning in the Sea of Love,Joe Simon
1972,78,Use Me,Bill Withers,Use Me,Bill Withers
1972,79,Family Affair,Sly,Family Affair,Sly & the Family Stone
1972,80,Troglodyte,The Jimmy Castor Bunch,Troglodyte (Cave Man),The Jimmy Castor Bunch
1972,81,The Witch Queen of New Orleans,Redbone,The Witch Queen of New Orleans,Redbone
1972,82,Freddie's Dead,Curtis Mayfield,Freddie's Dead,Curtis Mayfield
1972,83,Power of Love,Joe Simon,Power of Love,Joe Simon
1972,84,Ain't Understanding Mellow,Jerry Butler,Ain't Understanding Mellow,Jerry Butler & Brenda Lee Eager
1972,85,Taxi,Harry Chapin,Taxi,Harry Chapin
1972,86,Don't Say You Don't Remember,Beverly Bremers,Don't Say You Don't Remember,Beverly Bremers
1972,87,Sealed with a Kiss,Bobby Vinton,Sealed with a Kiss,Bobby Vinton
1972,88,I Saw the Light,Todd Rundgren,I Saw the Light,Todd Rundgren
1972,89,Motorcycle Mama,Sailcat,Motorcycle Mama,Sailcat
1972,90,Day by Day,Original Cast of Godspell,Day by Day,Original Cast of Godspell
1972,91,Roundabout,Yes,Roundabout,Yes
1972,92,Doctor My Eyes,Jackson Browne,Doctor My Eyes,Jackson Browne
1972,93,I'd Like to Teach the World to Sing,The New Seekers,I'd Like to Teach the World to Sing (In Perfect Harmony),The New Seekers
1972,94,Vincent,Don McLean,Vincent,Don McLean
1972,95,Baby Let Me Take You,The Detroit Emeralds,Baby Let Me Take You (In My Arms),The Detroit Emeralds
1972,96,Speak to the Sky,Rick Springfield,Speak to the Sky,Rick Springfield
1972,97,I'd Like to Teach the World to Sing,The Hillside Singers,I'd Like to Teach the World to Sing (In Perfect Harmony),The Hillside Singers
1972,98,Walkin' in the Rain with the One I Love,Love Unlimited,Walkin' in the Rain with the One I Love,Love Unlimited
1972,99,Get on the Good Foot,James Brown,Get on the Good Foot,James Brown
1972,100,Pop That Thang,The Isley Brothers,Pop That Thang,The Isley Brothers
