Year,Rank,Track_Title,Artist_Name,Raw_Track_Title,Raw_Artist_Name
1976,1,Silly Love Songs,Wings,Silly Love Songs,Wings
1976,2,Don't Go Breaking My Heart,Elton John,Don't Go Breaking My Heart,Elton John & Kiki Dee
1976,3,Disco Lady,Johnnie Taylor,Disco Lady,Johnnie Taylor
1976,4,"December, 1963",The Four Seasons,"December, 1963 (Oh, What a Night)",The Four Seasons
1976,5,Play That Funky Music,Wild Cherry,Play That Funky Music,Wild Cherry
1976,6,Kiss and Say Goodbye,The Manhattans,Kiss and Say Goodbye,The Manhattans
1976,7,Love Machine,The Miracles,Love Machine,The Miracles
1976,8,50 Ways to Leave Your Lover,Paul Simon,50 Ways to Leave Your Lover,Paul Simon
1976,9,Love Is Alive,Gary Wright,Love Is Alive,Gary Wright
1976,10,A Fifth of Beethoven,Walter Murphy,A Fifth of Beethoven,Walter Murphy & The Big Apple Band
1976,11,Sara Smile,Daryl Hall,Sara Smile,Daryl Hall & John Oates
1976,12,Afternoon Delight,Starland Vocal Band,Afternoon Delight,Starland Vocal Band
1976,13,I Write the Songs,Barry Manilow,I Write the Songs,Barry Manilow
1976,14,"Fly, Robin, Fly",Silver Convention,"Fly, Robin, Fly",Silver Convention
1976,15,Love Hangover,Diana Ross,Love Hangover,Diana Ross
1976,16,Get Closer,Seals,Get Closer,Seals and Crofts
1976,17,"More, More, More",Andrea True Connection,"More, More, More",Andrea True Connection
1976,18,Bohemian Rhapsody,Queen,Bohemian Rhapsody,Queen
1976,19,Misty Blue,Dorothy Moore,Misty Blue,Dorothy Moore
1976,20,Boogie Fever,The Sylvers,Boogie Fever,The Sylvers
1976,21,I'd Really Love to See You Tonight,England Dan,I'd Really Love to See You Tonight,England Dan & John Ford Coley
1976,22,You Sexy Thing,Hot Chocolate,You Sexy Thing,Hot Chocolate
1976,23,Love Hurts,Nazareth,Love Hurts,Nazareth
1976,24,Get Up and Boogie,Silver Convention,Get Up and Boogie,Silver Convention
1976,25,Take It to the Limit,Eagles,Take It to the Limit,Eagles
1976,26,"(Shake, Shake, Shake) Shake Your Booty",KC,"(Shake, Shake, Shake) Shake Your Booty",KC and the Sunshine Band
1976,27,Sweet Love,Commodores,Sweet Love,Commodores
1976,28,Right Back Where We Started From,Maxine Nightingale,Right Back Where We Started From,Maxine Nightingale
1976,29,Theme from S.W.A.T.,Rhythm Heritage,Theme from S.W.A.T.,Rhythm Heritage
1976,30,Love Rollercoaster,Ohio Players,Love Rollercoaster,Ohio Players
1976,31,You Should Be Dancing,Bee Gees,You Should Be Dancing,Bee Gees
1976,32,You'll Never Find Another Love Like Mine,Lou Rawls,You'll Never Find Another Love Like Mine,Lou Rawls
1976,33,Golden Years,David Bowie,Golden Years,David Bowie
1976,34,Moonlight Feels Right,Starbuck,Moonlight Feels Right,Starbuck
1976,35,Only Sixteen,Dr. Hook,Only Sixteen,Dr. Hook
1976,36,Let Your Love Flow,The Bellamy Brothers,Let Your Love Flow,The Bellamy Brothers
1976,37,Dream Weaver,Gary Wright,Dream Weaver,Gary Wright
1976,38,Turn the Beat Around,Vicki Sue Robinson,Turn the Beat Around,Vicki Sue Robinson
1976,39,Lonely Night,Captain,Lonely Night (Angel Face),Captain & Tennille
1976,40,All by Myself,Eric Carmen,All by Myself,Eric Carmen
1976,41,Love to Love You Baby,Donna Summer,Love to Love You Baby,Donna Summer
1976,42,Deep Purple,Donny,Deep Purple,Donny & Marie Osmond
1976,43,Theme from Mahogany,Diana Ross,Theme from Mahogany (Do You Know Where You're Going To),Diana Ross
1976,44,Sweet Thing,Rufus,Sweet Thing,Rufus
1976,45,That's the Way,KC,That's the Way (I Like It),KC and the Sunshine Band
1976,46,A Little Bit More,Dr. Hook,A Little Bit More,Dr. Hook
1976,47,Shannon,Henry Gross,Shannon,Henry Gross
1976,48,If You Leave Me Now,Chicago,If You Leave Me Now,Chicago
1976,49,Lowdown,Boz Scaggs,Lowdown,Boz Scaggs
1976,50,Show Me the Way,Peter Frampton,Show Me the Way,Peter Frampton
1976,51,Dream On,Aerosmith,Dream On,Aerosmith
1976,52,I Love Music,The O'Jays,I Love Music,The O'Jays
1976,53,Say You Love Me,Fleetwood Mac,Say You Love Me,Fleetwood Mac
1976,54,Times of Your Life,Paul Anka,Times of Your Life,Paul Anka
1976,55,Devil Woman,Cliff Richard,Devil Woman,Cliff Richard
1976,56,Fooled Around and Fell in Love,Elvin Bishop,Fooled Around and Fell in Love,Elvin Bishop
1976,57,Convoy,C. W. McCall,Convoy,C. W. McCall
1976,58,Welcome Back,John Sebastian,Welcome Back,John Sebastian
1976,59,Sing a Song,"Earth, Wind",Sing a Song,"Earth, Wind & Fire"
1976,60,Heaven Must Be Missing an Angel,Tavares,Heaven Must Be Missing an Angel,Tavares
1976,61,I'll Be Good to You,The Brothers Johnson,I'll Be Good to You,The Brothers Johnson
