Year,Rank,Track_Title,Artist_Name,Raw_Track_Title,Raw_Artist_Name
1963,1,Surfin' U.S.A.,The Beach Boys,Surfin' U.S.A.,The Beach Boys
1963,2,The End of the World,Skeeter Davis,The End of the World,Skeeter Davis
1963,3,Rhythm of the Rain,The Cascades,Rhythm of the Rain,The Cascades
1963,4,He's So Fine,The Chiffons,He's So Fine,The Chiffons
1963,5,Blue Velvet,Bobby Vinton,Blue Velvet,Bobby Vinton
1963,6,Hey Paula,Paul,Hey Paula,Paul & Paula
1963,7,Fingertips – Part 2,Little Stevie Wonder,Fingertips – Part 2,Little Stevie Wonder
1963,8,Can't Get Used to Losing You,Andy Williams,Can't Get Used to Losing You,Andy Williams
1963,9,My Boyfriend's Back,The Angels,My Boyfriend's Back,The Angels
1963,10,Sukiyaki,Kyu Sakamoto,Sukiyaki,Kyu Sakamoto
1963,11,So Much in Love,The Tymes,So Much in Love,The Tymes
1963,12,"Puff, the Magic Dragon","Peter, Paul","Puff, the Magic Dragon","Peter, Paul and Mary"
1963,13,13,Blowin' in the Wind,13,Blowin' in the Wind
1963,14,Wipe Out,The Surfaris,Wipe Out,The Surfaris
1963,15,I Love You Because,Al Martino,I Love You Because,Al Martino
1963,16,Wild Weekend,The Rebels,Wild Weekend,The Rebels
1963,17,You're the Reason I'm Living,Bobby Darin,You're the Reason I'm Living,Bobby Darin
1963,18,Walk Like a Man,The Four Seasons,Walk Like a Man,The Four Seasons
1963,19,Mockingbird,Inez,Mockingbird,Inez and Charlie Foxx
1963,20,I Will Follow Him,Little Peggy March,I Will Follow Him,Little Peggy March
1963,21,Pipeline,The Chantays,Pipeline,The Chantays
1963,22,Surf City,Jan,Surf City,Jan and Dean
1963,23,It's My Party,Lesley Gore,It's My Party,Lesley Gore
1963,24,Blame It on the Bossa Nova,Eydie Gormé,Blame It on the Bossa Nova,Eydie Gormé
1963,25,You Can't Sit Down,The Dovells,You Can't Sit Down,The Dovells
1963,26,Heat Wave,Martha,Heat Wave,Martha and the Vandellas
1963,27,Denise,Randy,Denise,Randy & the Rainbows
1963,28,Walk Right In,The Rooftop Singers,Walk Right In,The Rooftop Singers
1963,29,If You Wanna Be Happy,Jimmy Soul,If You Wanna Be Happy,Jimmy Soul
1963,30,If I Had a Hammer,Trini Lopez,If I Had a Hammer,Trini Lopez
1963,31,Easier Said Than Done,The Essex,Easier Said Than Done,The Essex
1963,32,Ruby Baby,Dion,Ruby Baby,Dion
1963,33,Our Day Will Come,Ruby,Our Day Will Come,Ruby & the Romantics
1963,34,Hello Stranger,Barbara Lewis,Hello Stranger,Barbara Lewis
1963,35,Be My Baby,The Ronettes,Be My Baby,The Ronettes
1963,36,South Street,The Orlons,South Street,The Orlons
1963,37,Days of Wine and Roses,Henry Mancini,Days of Wine and Roses,Henry Mancini
1963,38,The Monkey Time,Major Lance,The Monkey Time,Major Lance
1963,39,Candy Girl,The Four Seasons,Candy Girl,The Four Seasons
1963,40,Sugar Shack,Jimmy Gilmer,Sugar Shack,Jimmy Gilmer and the Fireballs
1963,41,Still,Bill Anderson,Still,Bill Anderson
1963,42,Blue on Blue,Bobby Vinton,Blue on Blue,Bobby Vinton
1963,43,Cry Baby,Garnet Mimms,Cry Baby,Garnet Mimms & the Enchanters
1963,44,Two Faces Have I,Lou Christie,Two Faces Have I,Lou Christie
1963,45,Busted,Ray Charles,Busted,Ray Charles
1963,46,Da Doo Ron Ron,The Crystals,Da Doo Ron Ron,The Crystals
1963,47,Foolish Little Girl,The Shirelles,Foolish Little Girl,The Shirelles
1963,48,Memphis,Lonnie Mack,Memphis,Lonnie Mack
1963,49,In Dreams,Roy Orbison,In Dreams,Roy Orbison
1963,50,More,Kai Winding,More,Kai Winding
1963,51,I Can't Stay Mad at You,Skeeter Davis,I Can't Stay Mad at You,Skeeter Davis
1963,52,Losing You,Brenda Lee,Losing You,Brenda Lee
1963,53,Mean Woman Blues,Roy Orbison,Mean Woman Blues,Roy Orbison
1963,54,Our Winter Love,Bill Pursell,Our Winter Love,Bill Pursell
1963,55,I Wanna Be Around,Tony Bennett,I Wanna Be Around,Tony Bennett
1963,56,You've Really Got a Hold on Me,The Miracles,You've Really Got a Hold on Me,The Miracles
1963,57,Sally Go 'Round the Roses,The Jaynetts,Sally Go 'Round the Roses,The Jaynetts
1963,58,(You're the) Devil in Disguise,Elvis Presley,(You're the) Devil in Disguise,Elvis Presley
1963,59,Those Lazy-Hazy-Crazy Days of Summer,Nat King Cole,Those Lazy-Hazy-Crazy Days of Summer,Nat King Cole
1963,60,Baby Workout,Jackie Wilson,Baby Workout,Jackie Wilson
1963,61,Pride and Joy,Marvin Gaye,Pride and Joy,Marvin Gaye
1963,62,Deep Purple,Nino Tempo,Deep Purple,Nino Tempo & April Stevens
1963,63,From a Jack to a King,Ned Miller,From a Jack to a King,Ned Miller
1963,64,Up on the Roof,The Drifters,Up on the Roof,The Drifters
1963,65,What Will Mary Say,Johnny Mathis,What Will Mary Say,Johnny Mathis
1963,66,Mama Didn't Lie,Jan Bradley,Mama Didn't Lie,Jan Bradley
1963,67,The Night Has a Thousand Eyes,Bobby Vee,The Night Has a Thousand Eyes,Bobby Vee
1963,68,Don't Say Nothin' Bad,The Cookies,Don't Say Nothin' Bad (About My Baby),The Cookies
1963,69,Ring of Fire,Johnny Cash,Ring of Fire,Johnny Cash
1963,70,Just One Look,Doris Troy,Just One Look,Doris Troy
1963,71,"Hello Muddah, Hello Fadduh",Allan Sherman,"Hello Muddah, Hello Fadduh (A Letter from Camp)",Allan Sherman
1963,72,Judy's Turn to Cry,Lesley Gore,Judy's Turn to Cry,Lesley Gore
1963,73,"Tie Me Kangaroo Down, Sport",Rolf Harris,"Tie Me Kangaroo Down, Sport",Rolf Harris
1963,74,Fools Rush In,Rick Nelson,Fools Rush In,Rick Nelson
1963,75,Washington Square,The Village Stompers,Washington Square,The Village Stompers
1963,76,Donna the Prima Donna,Dion,Donna the Prima Donna,Dion
1963,77,"That Sunday, That Summer",Nat King Cole,"That Sunday, That Summer",Nat King Cole
1963,78,Another Saturday Night,Sam Cooke,Another Saturday Night,Sam Cooke
1963,79,"Painted, Tainted Rose",Al Martino,"Painted, Tainted Rose",Al Martino
1963,80,Go Away Little Girl,Steve Lawrence,Go Away Little Girl,Steve Lawrence
1963,81,Take These Chains from My Heart,Ray Charles,Take These Chains from My Heart,Ray Charles
1963,82,Talk to Me,Sunny,Talk to Me,Sunny & the Sunglows
