Year,Rank,Track_Title,Artist_Name,Raw_Track_Title,Raw_Artist_Name
1980,1,Call Me,Blondie,Call Me,Blondie
1980,2,"Another Brick in the Wall, Part II",Pink Floyd,"Another Brick in the Wall, Part II",Pink Floyd
1980,3,Magic,Olivia Newton-John,Magic,Olivia Newton-John
1980,4,Rock with You,Michael Jackson,Rock with You,Michael Jackson
1980,5,Do That to Me One More Time,Captain,Do That to Me One More Time,Captain & Tennille
1980,6,Crazy Little Thing Called Love,Queen,Crazy Little Thing Called Love,Queen
1980,7,Coming Up,Paul McCartney,Coming Up,Paul McCartney
1980,8,Funkytown,Lipps Inc.,Funkytown,Lipps Inc.
1980,9,It's Still Rock and Roll to Me,Billy Joel,It's Still Rock and Roll to Me,Billy Joel
1980,10,The Rose,Bette Midler,The Rose,Bette Midler
1980,11,Escape,Rupert Holmes,Escape (The Piña Colada Song),Rupert Holmes
1980,12,Cars,Gary Numan,Cars,Gary Numan
1980,13,Cruisin,Smokey Robinson,Cruisin,Smokey Robinson
1980,14,"Working My Way Back to You/Forgive Me, Girl",The Spinners,"Working My Way Back to You/Forgive Me, Girl",The Spinners
1980,15,Lost in Love,Air Supply,Lost in Love,Air Supply
1980,16,Little Jeannie,Elton John,Little Jeannie,Elton John
1980,17,Ride Like the Wind,Christopher Cross,Ride Like the Wind,Christopher Cross
1980,18,Upside Down,Diana Ross,Upside Down,Diana Ross
1980,19,Please Don't Go,KC,Please Don't Go,KC and the Sunshine Band
1980,20,Babe,Styx,Babe,Styx
1980,21,With You I'm Born Again,Billy Preston,With You I'm Born Again,Billy Preston and Syreeta
1980,22,Shining Star,The Manhattans,Shining Star,The Manhattans
1980,23,Still,Commodores,Still,Commodores
1980,24,"Yes, I'm Ready",Teri DeSario,"Yes, I'm Ready",Teri DeSario & KC
1980,25,Sexy Eyes,Dr. Hook,Sexy Eyes,Dr. Hook
1980,26,Steal Away,Robbie Dupree,Steal Away,Robbie Dupree
1980,27,Biggest Part of Me,Ambrosia,Biggest Part of Me,Ambrosia
1980,28,This Is It,Kenny Loggins,This Is It,Kenny Loggins
