Year,Rank,Track_Title,Artist_Name,Raw_Track_Title,Raw_Artist_Name
1978,1,Shadow Dancing,Andy Gibb,Shadow Dancing,Andy Gibb
1978,2,Night Fever,Bee Gees,Night Fever,Bee Gees
1978,3,You Light Up My Life,Debby Boone,You Light Up My Life,Debby Boone
1978,4,Stayin' Alive,Bee Gees,Stayin' Alive,Bee Gees
1978,5,Kiss You All Over,Exile,Kiss You All Over,Exile
1978,6,How Deep Is Your Love,Bee Gees,How Deep Is Your Love,Bee Gees
1978,7,Baby Come Back,Player,Baby Come Back,Player
1978,8,(Love Is) Thicker Than Water,Andy Gibb,(Love Is) Thicker Than Water,Andy Gibb
1978,9,Boogie Oogie Oogie,A Taste of Honey,Boogie Oogie Oogie,A Taste of Honey
1978,10,Three Times a Lady,Commodores,Three Times a Lady,Commodores
1978,11,Grease,Frankie Valli,Grease,Frankie Valli
1978,12,I Go Crazy,Paul Davis,I Go Crazy,Paul Davis
1978,13,You're the One That I Want,John Travolta,You're the One That I Want,John Travolta & Olivia Newton-John
1978,14,Emotion,Samantha Sang,Emotion,Samantha Sang
1978,15,Lay Down Sally,Eric Clapton,Lay Down Sally,Eric Clapton
1978,16,Miss You,The Rolling Stones,Miss You,The Rolling Stones
1978,17,Just the Way You Are,Billy Joel,Just the Way You Are,Billy Joel
1978,18,With a Little Luck,Wings,With a Little Luck,Wings
1978,19,If I Can't Have You,Yvonne Elliman,If I Can't Have You,Yvonne Elliman
1978,20,"Dance, Dance, Dance",Chic,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",Chic
1978,21,Feels So Good,Chuck Mangione,Feels So Good,Chuck Mangione
1978,22,Hot Child in the City,Nick Gilder,Hot Child in the City,Nick Gilder
1978,23,Love Is Like Oxygen,Sweet,Love Is Like Oxygen,Sweet
1978,24,It's a Heartache,Bonnie Tyler,It's a Heartache,Bonnie Tyler
1978,25,We Will Rock You,Queen,We Will Rock You / We Are the Champions,Queen
1978,26,Baker Street,Gerry Rafferty,Baker Street,Gerry Rafferty
1978,27,Can't Smile Without You,Barry Manilow,Can't Smile Without You,Barry Manilow
1978,28,"Too Much, Too Little, Too Late",Johnny Mathis,"Too Much, Too Little, Too Late",Johnny Mathis & Deniece Williams
1978,29,Dance With Me,Peter Brown,Dance With Me,Peter Brown
1978,30,Two Out of Three Ain't Bad,Meat Loaf,Two Out of Three Ain't Bad,Meat Loaf
1978,31,Jack And Jill,Raydio,Jack And Jill,Raydio
1978,32,Take a Chance on Me,ABBA,Take a Chance on Me,ABBA
1978,33,Sometimes When We Touch,Dan Hill,Sometimes When We Touch,Dan Hill
1978,34,Last Dance,Donna Summer,Last Dance,Donna Summer
1978,35,Hopelessly Devoted to You,Olivia Newton-John,Hopelessly Devoted to You,Olivia Newton-John
1978,36,Hot Blooded,Foreigner,Hot Blooded,Foreigner
1978,37,You're in My Heart,Rod Stewart,You're in My Heart (The Final Acclaim),Rod Stewart
1978,38,The Closer I Get to You,Roberta Flack,The Closer I Get to You,Roberta Flack & Donny Hathaway
1978,39,Dust in the Wind,Kansas,Dust in the Wind,Kansas
1978,40,Magnet and Steel,Walter Egan,Magnet and Steel,Walter Egan
1978,41,Short People,Randy Newman,Short People,Randy Newman
1978,42,Use ta Be My Girl,The O'Jays,Use ta Be My Girl,The O'Jays
1978,43,Our Love,Natalie Cole,Our Love,Natalie Cole
1978,44,Love Will Find a Way,Pablo Cruise,Love Will Find a Way,Pablo Cruise
1978,45,An Everlasting Love,Andy Gibb,An Everlasting Love,Andy Gibb
1978,46,Love Is in the Air,John Paul Young,Love Is in the Air,John Paul Young
1978,47,Goodbye Girl,David Gates,Goodbye Girl,David Gates
1978,48,Slip Slidin' Away,Paul Simon,Slip Slidin' Away,Paul Simon
1978,49,The Groove Line,Heatwave,The Groove Line,Heatwave
1978,50,Thunder Island,Jay Ferguson,Thunder Island,Jay Ferguson
1978,51,Imaginary Lover,Atlanta Rhythm Section,Imaginary Lover,Atlanta Rhythm Section
1978,52,Still the Same,Bob Seger,Still the Same,Bob Seger & The Silver Bullet Band
1978,53,My Angel Baby,Toby Beau,My Angel Baby,Toby Beau
1978,54,Disco Inferno,The Trammps,Disco Inferno,The Trammps
1978,55,On Broadway,George Benson,On Broadway,George Benson
1978,56,Come Sail Away,Styx,Come Sail Away,Styx
1978,57,(Every Time I Turn Around) Back in Love Again,L.T.D.,(Every Time I Turn Around) Back in Love Again,L.T.D.
1978,58,This Time I'm in It for Love,Player,This Time I'm in It for Love,Player
1978,59,You Belong to Me,Carly Simon,You Belong to Me,Carly Simon
1978,60,Here You Come Again,Dolly Parton,Here You Come Again,Dolly Parton
1978,61,Blue Bayou,Linda Ronstadt,Blue Bayou,Linda Ronstadt
1978,62,Peg,Steely Dan,Peg,Steely Dan
1978,63,You Needed Me,Anne Murray,You Needed Me,Anne Murray
1978,64,Shame,Evelyn Champagne King,Shame,Evelyn Champagne King
1978,65,Reminiscing,Little River Band,Reminiscing,Little River Band
1978,66,Count On Me,Jefferson Starship,Count On Me,Jefferson Starship
1978,67,Baby Hold On,Eddie Money,Baby Hold On,Eddie Money
1978,68,Hey Deanie,Shaun Cassidy,Hey Deanie,Shaun Cassidy
1978,69,Summer Nights,John Travolta,Summer Nights,John Travolta & Olivia Newton-John
1978,70,What's Your Name,Lynyrd Skynyrd,What's Your Name,Lynyrd Skynyrd
1978,71,Don't It Make My Brown Eyes Blue,Crystal Gayle,Don't It Make My Brown Eyes Blue,Crystal Gayle
1978,72,Because the Night,Patti Smith Group,Because the Night,Patti Smith Group
1978,73,Every Kinda People,Robert Palmer,Every Kinda People,Robert Palmer
1978,74,Copacabana,Barry Manilow,Copacabana,Barry Manilow
1978,75,Always and Forever,Heatwave,Always and Forever,Heatwave
1978,76,You and I,Rick James,You and I,Rick James
1978,77,Serpentine Fire,"Earth, Wind",Serpentine Fire,"Earth, Wind & Fire"
1978,78,Sentimental Lady,Bob Welch,Sentimental Lady,Bob Welch
1978,79,Falling,LeBlanc,Falling,LeBlanc & Carr
1978,80,Don't Let Me Be Misunderstood,Santa Esmeralda,Don't Let Me Be Misunderstood,Santa Esmeralda
1978,81,Bluer Than Blue,Michael Johnson,Bluer Than Blue,Michael Johnson
1978,82,Running on Empty,Jackson Browne,Running on Empty,Jackson Browne
1978,83,Whenever I Call You 'Friend',Kenny Loggins,Whenever I Call You 'Friend',Kenny Loggins & Stevie Nicks
1978,84,Fool,Chris Rea,Fool (If You Think It's Over),Chris Rea
1978,85,Get Off,Foxy,Get Off,Foxy
1978,86,Sweet Talkin' Woman,Electric Light Orchestra,Sweet Talkin' Woman,Electric Light Orchestra
1978,87,Life's Been Good,Joe Walsh,Life's Been Good,Joe Walsh
1978,88,I Love the Nightlife,Alicia Bridges,I Love the Nightlife,Alicia Bridges
1978,89,You Can't Turn Me Off,High Inergy,You Can't Turn Me Off (In The Middle Of Turning Me On),High Inergy
