Year,Rank,Track_Title,Artist_Name,Raw_Track_Title,Raw_Artist_Name
1974,1,The Way We Were,Barbra Streisand,The Way We Were,Barbra Streisand
1974,2,Seasons in the Sun,Terry Jacks,Seasons in the Sun,Terry Jacks
1974,3,Love's Theme,Love Unlimited Orchestra,Love's Theme,Love Unlimited Orchestra
1974,4,Come and Get Your Love,Redbone,Come and Get Your Love,Redbone
1974,5,Dancing Machine,The Jackson 5,Dancing Machine,The Jackson 5
1974,6,The Loco-Motion,Grand Funk Railroad,The Loco-Motion,Grand Funk Railroad
1974,7,TSOP,MFSB,TSOP (The Sound of Philadelphia),MFSB & The Three Degrees
1974,8,The Streak,Ray Stevens,The Streak,Ray Stevens
1974,9,Bennie and the Jets,Elton John,Bennie and the Jets,Elton John
1974,10,One Hell of a Woman,Mac Davis,One Hell of a Woman,Mac Davis
1974,11,Until You Come Back to Me,Aretha Franklin,Until You Come Back to Me (That's What I'm Gonna Do),Aretha Franklin
1974,12,Jungle Boogie,Kool,Jungle Boogie,Kool & the Gang
1974,13,Midnight at the Oasis,Maria Muldaur,Midnight at the Oasis,Maria Muldaur
1974,14,You Make Me Feel Brand New,The Stylistics,You Make Me Feel Brand New,The Stylistics
1974,15,Show and Tell,Al Wilson,Show and Tell,Al Wilson
1974,16,Spiders and Snakes,Jim Stafford,Spiders and Snakes,Jim Stafford
1974,17,Rock On,David Essex,Rock On,David Essex
1974,18,Sunshine on My Shoulders,John Denver,Sunshine on My Shoulders,John Denver
1974,19,Sideshow,Blue Magic,Sideshow,Blue Magic
1974,20,Hooked on a Feeling,Blue Swede,Hooked on a Feeling,Blue Swede
1974,21,Billy Don't Be a Hero,Bo Donaldson,Billy Don't Be a Hero,Bo Donaldson and The Heywoods
1974,22,Band on the Run,Paul McCartney,Band on the Run,Paul McCartney and Wings
1974,23,The Most Beautiful Girl,Charlie Rich,The Most Beautiful Girl,Charlie Rich
1974,24,Time in a Bottle,Jim Croce,Time in a Bottle,Jim Croce
1974,25,Annie's Song,John Denver,Annie's Song,John Denver
1974,26,Let Me Be There,Olivia Newton-John,Let Me Be There,Olivia Newton-John
1974,27,Sundown,Gordon Lightfoot,Sundown,Gordon Lightfoot
1974,28,(You're) Having My Baby,Paul Anka,(You're) Having My Baby,Paul Anka
1974,29,Rock Me Gently,Andy Kim,Rock Me Gently,Andy Kim
1974,30,Boogie Down,Eddie Kendricks,Boogie Down,Eddie Kendricks
1974,31,You're Sixteen,Ringo Starr,You're Sixteen,Ringo Starr
1974,32,If You Love Me,Olivia Newton-John,If You Love Me (Let Me Know),Olivia Newton-John
1974,33,Dark Lady,Cher,Dark Lady,Cher
1974,34,Best Thing That Ever Happened to Me,Gladys Knight,Best Thing That Ever Happened to Me,Gladys Knight & the Pips
1974,35,Feel Like Makin' Love,Roberta Flack,Feel Like Makin' Love,Roberta Flack
1974,36,Just Don't Want to Be Lonely,The Main Ingredient,Just Don't Want to Be Lonely,The Main Ingredient
1974,37,Nothing from Nothing,Billy Preston,Nothing from Nothing,Billy Preston
1974,38,Rock Your Baby,George McCrae,Rock Your Baby,George McCrae
1974,39,Top of the World,The Carpenters,Top of the World,The Carpenters
1974,40,The Joker,Steve Miller Band,The Joker,Steve Miller Band
1974,41,I've Got to Use My Imagination,Gladys Knight,I've Got to Use My Imagination,Gladys Knight & the Pips
1974,42,The Show Must Go On,Three Dog Night,The Show Must Go On,Three Dog Night
1974,43,Rock the Boat,The Hues Corporation,Rock the Boat,The Hues Corporation
1974,44,Smokin' in the Boys Room,Brownsville Station,Smokin' in the Boys Room,Brownsville Station
1974,45,Living for the City,Stevie Wonder,Living for the City,Stevie Wonder
1974,46,Then Came You,Dionne Warwick,Then Came You,Dionne Warwick & The Spinners
1974,47,The Night Chicago Died,Paper Lace,The Night Chicago Died,Paper Lace
1974,48,The Entertainer,Marvin Hamlisch,The Entertainer,Marvin Hamlisch
1974,49,Waterloo,ABBA,Waterloo,ABBA
1974,50,The Air That I Breathe,The Hollies,The Air That I Breathe,The Hollies
1974,51,Rikki Don't Lose That Number,Steely Dan,Rikki Don't Lose That Number,Steely Dan
1974,52,Mockingbird,Carly Simon,Mockingbird,Carly Simon & James Taylor
1974,53,Help Me,Joni Mitchell,Help Me,Joni Mitchell
1974,54,You Won't See Me,Anne Murray,You Won't See Me,Anne Murray
1974,55,"Never, Never Gonna Give You Up",Barry White,"Never, Never Gonna Give You Up",Barry White
1974,56,Tell Me Something Good,Rufus,Tell Me Something Good,Rufus & Chaka Khan
1974,57,You and Me Against the World,Helen Reddy,You and Me Against the World,Helen Reddy
