Year,Rank,Track_Title,Artist_Name,Raw_Track_Title,Raw_Artist_Name
1973,1,Tie a Yellow Ribbon Round the Ole Oak Tree,Tony Orlando,Tie a Yellow Ribbon Round the Ole Oak Tree,Tony Orlando and Dawn
1973,2,"Bad, Bad Leroy Brown",Jim Croce,"Bad, Bad Leroy Brown",Jim Croce
1973,3,Killing Me Softly with His Song,Roberta Flack,Killing Me Softly with His Song,Roberta Flack
1973,4,Let's Get It On,Marvin Gaye,Let's Get It On,Marvin Gaye
1973,5,My Love,Paul McCartney,My Love,Paul McCartney & Wings
1973,6,Why Me,Kris Kristofferson,Why Me,Kris Kristofferson
1973,7,Crocodile Rock,Elton John,Crocodile Rock,Elton John
1973,8,Will It Go Round in Circles,Billy Preston,Will It Go Round in Circles,Billy Preston
1973,9,You're So Vain,Carly Simon,You're So Vain,Carly Simon
1973,10,Touch Me in the Morning,Diana Ross,Touch Me in the Morning,Diana Ross
1973,11,The Night the Lights Went Out in Georgia,Vicki Lawrence,The Night the Lights Went Out in Georgia,Vicki Lawrence
1973,12,Playground in My Mind,Clint Holmes,Playground in My Mind,Clint Holmes
1973,13,Brother Louie,Stories,Brother Louie,Stories
1973,14,Delta Dawn,Helen Reddy,Delta Dawn,Helen Reddy
1973,15,Me and Mrs. Jones,Billy Paul,Me and Mrs. Jones,Billy Paul
1973,16,Frankenstein,The Edgar Winter Group,Frankenstein,The Edgar Winter Group
1973,17,Drift Away,Dobie Gray,Drift Away,Dobie Gray
1973,18,Little Willy,Sweet,Little Willy,Sweet
1973,19,You Are the Sunshine of My Life,Stevie Wonder,You Are the Sunshine of My Life,Stevie Wonder
1973,20,Half-Breed,Cher,Half-Breed,Cher
1973,21,That Lady,The Isley Brothers,That Lady,The Isley Brothers
1973,22,Pillow Talk,Sylvia Robinson,Pillow Talk,Sylvia Robinson
1973,23,We're an American Band,Grand Funk Railroad,We're an American Band,Grand Funk Railroad
1973,24,Right Place Wrong Time,Dr. John,Right Place Wrong Time,Dr. John
1973,25,Wildflower,Skylark,Wildflower,Skylark
1973,26,Superstition,Stevie Wonder,Superstition,Stevie Wonder
1973,27,Loves Me Like a Rock,Paul Simon,Loves Me Like a Rock,Paul Simon
1973,28,The Morning After,Maureen McGovern,The Morning After,Maureen McGovern
1973,29,Rocky Mountain High,John Denver,Rocky Mountain High,John Denver
1973,30,Stuck in the Middle with You,Stealers Wheel,Stuck in the Middle with You,Stealers Wheel
1973,31,Shambala,Three Dog Night,Shambala,Three Dog Night
1973,32,Love Train,The O'Jays,Love Train,The O'Jays
1973,33,I'm Gonna Love You Just a Little More Baby,Barry White,I'm Gonna Love You Just a Little More Baby,Barry White
1973,34,"Say, Has Anybody Seen My Sweet Gypsy Rose",Tony Orlando,"Say, Has Anybody Seen My Sweet Gypsy Rose",Tony Orlando and Dawn
1973,35,Keep on Truckin',Eddie Kendricks,Keep on Truckin',Eddie Kendricks
1973,36,Danny's Song,Anne Murray,Danny's Song,Anne Murray
1973,37,Dancing in the Moonlight,King Harvest,Dancing in the Moonlight,King Harvest
1973,38,Monster Mash,Bobby 'Boris' Pickett,Monster Mash,Bobby 'Boris' Pickett
1973,39,Natural High,Bloodstone,Natural High,Bloodstone
1973,40,Diamond Girl,Seals,Diamond Girl,Seals and Crofts
