Year,Rank,Track_Title,Artist_Name,Raw_Track_Title,Raw_Artist_Name
1999,1,Believe,Cher,Believe,Cher
1999,2,No Scrubs,TLC,No Scrubs,TLC
1999,3,Angel of Mine,Monica,Angel of Mine,Monica
1999,4,Heartbreak Hotel,Whitney Houston,Heartbreak Hotel,Whitney Houston featuring Faith Evans and Kelly Price
1999,5,...Baby One More Time,Britney Spears,...Baby One More Time,Britney Spears
1999,6,Kiss Me,Sixpence None the Richer,Kiss Me,Sixpence None the Richer
1999,7,Genie in a Bottle,Christina Aguilera,Genie in a Bottle,Christina Aguilera
1999,8,Every Morning,Sugar Ray,Every Morning,Sugar Ray
1999,9,Nobody's Supposed to Be Here,Deborah Cox,Nobody's Supposed to Be Here,Deborah Cox
1999,10,Livin' la Vida Loca,Ricky Martin,Livin' la Vida Loca,Ricky Martin
1999,11,Where My Girls At?,702,Where My Girls At?,702
1999,12,If You Had My Love,Jennifer Lopez,If You Had My Love,Jennifer Lopez
1999,13,Slide,Goo Goo Dolls,Slide,Goo Goo Dolls
1999,14,Have You Ever?,Brandy,Have You Ever?,Brandy
1999,15,I Want It That Way,Backstreet Boys,I Want It That Way,Backstreet Boys
1999,16,I'm Your Angel,R. Kelly,I'm Your Angel,R. Kelly and Celine Dion
1999,17,All Star,Smash Mouth,All Star,Smash Mouth
1999,18,Angel,Sarah McLachlan,Angel,Sarah McLachlan
1999,19,Smooth,Santana,Smooth,Santana featuring Rob Thomas
1999,20,Unpretty,TLC,Unpretty,TLC
1999,21,"Bills, Bills, Bills",Destiny's Child,"Bills, Bills, Bills",Destiny's Child
1999,22,Save Tonight,Eagle-Eye Cherry,Save Tonight,Eagle-Eye Cherry
1999,23,Last Kiss,Pearl Jam,Last Kiss,Pearl Jam
1999,24,Fortunate,Maxwell,Fortunate,Maxwell
1999,25,All I Have to Give,Backstreet Boys,All I Have to Give,Backstreet Boys
1999,26,Bailamos,Enrique Iglesias,Bailamos,Enrique Iglesias
1999,27,What's It Gonna Be?!,Busta Rhymes,What's It Gonna Be?!,Busta Rhymes featuring Janet
1999,28,What It's Like,Everlast,What It's Like,Everlast
1999,29,Fly Away,Lenny Kravitz,Fly Away,Lenny Kravitz
1999,30,Someday,Sugar Ray,Someday,Sugar Ray
1999,31,Lately,Divine,Lately,Divine
1999,32,That Don't Impress Me Much,Shania Twain,That Don't Impress Me Much,Shania Twain
1999,33,Wild Wild West,Will Smith,Wild Wild West,Will Smith featuring Dru Hill and Kool Moe Dee
1999,34,Scar Tissue,Red Hot Chili Peppers,Scar Tissue,Red Hot Chili Peppers
1999,35,Heartbreaker,Mariah Carey,Heartbreaker,Mariah Carey featuring Jay-Z
1999,36,I Still Believe,Mariah Carey,I Still Believe,Mariah Carey
1999,37,The Hardest Thing,98 Degrees,The Hardest Thing,98 Degrees
1999,38,Summer Girls,LFO,Summer Girls,LFO
1999,39,Can I Get A...,Jay-Z,Can I Get A...,Jay-Z featuring Amil and Ja Rule
1999,40,Jumper,Third Eye Blind,Jumper,Third Eye Blind
1999,41,Doo Wop,Lauryn Hill,Doo Wop (That Thing),Lauryn Hill
1999,42,Mambo No. 5,Lou Bega,Mambo No. 5,Lou Bega
1999,43,Sweet Lady,Tyrese,Sweet Lady,Tyrese
1999,44,It's Not Right but It's Okay,Whitney Houston,It's Not Right but It's Okay,Whitney Houston
1999,45,(God Must Have Spent) A Little More Time on You,NSYNC,(God Must Have Spent) A Little More Time on You,NSYNC
1999,46,Lullaby,Shawn Mullins,Lullaby,Shawn Mullins
1999,47,Anywhere,112,Anywhere,112 featuring Lil Zane
1999,48,Tell Me It's Real,K-Ci,Tell Me It's Real,K-Ci & JoJo
1999,49,Back 2 Good,Matchbox 20,Back 2 Good,Matchbox 20
1999,50,808,Blaque,808,Blaque
1999,51,She's So High,Tal Bachman,She's So High,Tal Bachman
1999,52,She's All I Ever Had,Ricky Martin,She's All I Ever Had,Ricky Martin
1999,53,Miami,Will Smith,Miami,Will Smith
1999,54,Hands,Jewel,Hands,Jewel
1999,55,Who Dat,JT Money,Who Dat,JT Money featuring Solé
1999,56,Please Remember Me,Tim McGraw,Please Remember Me,Tim McGraw
1999,57,From This Moment On,Shania Twain,From This Moment On,Shania Twain
1999,58,Love Like This,Faith Evans,Love Like This,Faith Evans
1999,59,You,Jesse Powell,You,Jesse Powell
1999,60,Trippin',Total,Trippin',Total featuring Missy Elliott
1999,61,If You,Silk,If You,Silk
1999,62,Ex-Factor,Lauryn Hill,Ex-Factor,Lauryn Hill
